"ID","Gemeinde_color","Ja_Stimmen_In_Prozent","Nein_Stimmen_In_Prozent","Gemeinde_fr","Text_fr"
2008,22.7,22.7,77.3,"Châtillon (FR)","L'initiative ""Pas de Suisse à 10 millions!» n'a pas trouvé grâce aux yeux des citoyens de Châtillon (FR). Ils ont refusé le texte à 77,3 pour cent. Le refus de l'initiative ""Pas de Suisse à 10 millions!» est plus fort que celui observé pour l'initiative ""pour une immigration modérée» en 2020. La proportion de non à Châtillon (FR) était alors de 66,8 pour cent."
2011,5.9,5.9,94.1,"Cugy (FR)","L'initiative ""Pas de Suisse à 10 millions!» n'a pas convaincu à Cugy (FR). Les citoyens de la commune ont refusé le texte à 94,1 pour cent. Le refus de l'initiative ""Pas de Suisse à 10 millions!» est plus fort que celui observé pour l'initiative ""pour une immigration modérée» en 2020. La proportion de non à Cugy (FR) était alors de 58,2 pour cent."
2022,33.6,33.6,66.4,"Gletterens (FR)","La population de Gletterens rejette à 66,4 pour cent des voix l'initiative ""Pas de Suisse à 10 millions!». Le refus de l'initiative ""Pas de Suisse à 10 millions!» est plus fort que celui observé pour l'initiative ""pour une immigration modérée» en 2020. La proportion de non à Gletterens était alors de 54,1 pour cent."
2025,80.6,80.6,19.4,"Lully (FR)","Les habitants de Lully (FR) acceptent à 80,6 pour cent l'initiative ""Pas de Suisse à 10 millions!». Avec ce résultat, Lully (FR) bascule dans le camp du oui. En 2020, la commune avait rejeté l'initiative ""pour une immigration modérée» avec 52,9 pour cent des voix."
2029,98.6,98.6,1.4,"Montagny (FR)","La population de Montagny (FR) approuve à 98,6 pour cent l'initiative ""Pas de Suisse à 10 millions!». Avec ce résultat, Montagny (FR) bascule dans le camp du oui. En 2020, la commune avait rejeté l'initiative ""pour une immigration modérée» avec 60,7 pour cent des voix."
2035,30.6,30.6,69.4,"Nuvilly (FR)","L'initiative ""Pas de Suisse à 10 millions!» est refusée à 69,4 pour cent à Nuvilly. Le refus de l'initiative ""Pas de Suisse à 10 millions!» est plus fort que celui observé pour l'initiative ""pour une immigration modérée» en 2020. La proportion de non à Nuvilly était alors de 56,6 pour cent."
2038,5.3,5.3,94.7,"Prévondavaux (FR)","L'initiative ""Pas de Suisse à 10 millions!» est refusée à 94,7 pour cent à Prévondavaux."
2041,7.7,7.7,92.3,"Saint-Aubin (FR)","Les habitants de Saint-Aubin (FR) s'opposent à l'initiative ""Pas de Suisse à 10 millions!» par 92,3 pour cent des voix. Le refus de l'initiative ""Pas de Suisse à 10 millions!» est plus fort que celui observé pour l'initiative ""pour une immigration modérée» en 2020. La proportion de non à Saint-Aubin (FR) était alors de 64,7 pour cent."
2043,67.9,67.9,32.1,"Sévaz (FR)","L'initiative ""Pas de Suisse à 10 millions!» passe la rampe avec 67,9 pour cent de oui à Sévaz. Avec ce résultat, Sévaz bascule dans le camp du oui. En 2020, la commune avait rejeté l'initiative ""pour une immigration modérée» avec 54,7 pour cent des voix."
2044,50.8,50.8,49.2,"Surpierre (FR)","Les habitants de Surpierre soutiennent à 50,8 pour cent l'initiative ""Pas de Suisse à 10 millions!». Avec ce résultat, Surpierre bascule dans le camp du oui. En 2020, la commune avait rejeté l'initiative ""pour une immigration modérée» avec 50,4 pour cent des voix."
2045,13,13,87,"Vallon (FR)","Les habitants de Vallon s'opposent à l'initiative ""Pas de Suisse à 10 millions!» par 87 pour cent des voix. Le refus de l'initiative ""Pas de Suisse à 10 millions!» est plus fort que celui observé pour l'initiative ""pour une immigration modérée» en 2020. La proportion de non à Vallon était alors de 61,7 pour cent."
