"ID","Gemeinde_color","Ja_Stimmen_In_Prozent","Nein_Stimmen_In_Prozent","Gemeinde_de","Text_de"
6601,56.9,56.9,43.1,"Aire-la-Ville GE",
6602,62.8,62.8,37.2,"Anières GE",
6603,49.3,49.3,50.7,"Avully GE",
6604,59.3,59.3,40.7,"Avusy GE",
6605,59.2,59.2,40.8,"Bardonnex GE",
6606,56.6,56.6,43.4,"Bellevue GE",
6607,54.6,54.6,45.4,"Bernex GE",
6608,46.6,46.6,53.4,"Carouge GE",
6609,53.1,53.1,46.9,"Cartigny GE",
6610,50.6,50.6,49.4,"Céligny GE",
6611,55.2,55.2,44.8,"Chancy GE",
6612,58.8,58.8,41.2,"Chêne-Bougeries GE",
6613,48.8,48.8,51.2,"Chêne-Bourg GE",
6614,60.5,60.5,39.5,"Choulex GE",
6615,55.5,55.5,44.5,"Collex-Bossy GE",
6616,66.8,66.8,33.2,"Collonge-Bellerive GE",
6617,69,69,31,"Cologny GE",
6618,51.5,51.5,48.5,"Confignon GE",
6619,68.9,68.9,31.1,"Corsier GE",
6620,54.7,54.7,45.3,"Dardagny GE",
6621,46.3,46.3,53.7,"Genf GE",
6622,57,57,43,"Genthod GE",
6623,48.4,48.4,51.6,"Le Grand-Saconnex GE",
6624,55.2,55.2,44.8,"Gy GE",
6625,53.8,53.8,46.2,"Hermance GE",
6626,65.6,65.6,34.4,"Jussy GE",
6627,52,52,48,"Laconnex GE",
6628,49.6,49.6,50.4,"Lancy GE",
6629,56.3,56.3,43.7,"Meinier GE",
6630,49.2,49.2,50.8,"Meyrin GE",
6631,49.9,49.9,50.1,"Onex GE",
6632,57.7,57.7,42.3,"Perly-Certoux GE",
6633,53.6,53.6,46.4,"Plan-les-Ouates GE",
6634,55.1,55.1,44.9,"Pregny-Chambésy GE",
6635,65.1,65.1,34.9,"Presinge GE",
6636,59.6,59.6,40.4,"Puplinge GE",
6637,53.7,53.7,46.3,"Russin GE",
6638,56.4,56.4,43.6,"Satigny GE",
6639,57.6,57.6,42.4,"Soral GE",
6640,56.8,56.8,43.2,"Thônex GE",
6641,57.5,57.5,42.5,"Troinex GE",
6642,67.1,67.1,32.9,"Vandoeuvres GE",
6643,48.2,48.2,51.8,"Vernier GE",
6644,52.2,52.2,47.8,"Versoix GE",
6645,60,60,40,"Veyrier GE",
