"ID","Gemeinde_color","Ja_Stimmen_In_Prozent","Nein_Stimmen_In_Prozent","Gemeinde_de","Text_de"
4001,56.5,56.5,43.5,"Aarau AG","In Aarau wird das Zivildienstgesetz mit 56,5 Prozent angenommen. Aarau nimmt das Zivildienstgesetz an, der Kanton Aargau lehnt es ab."
4002,59.9,59.9,40.1,"Biberstein AG","Die Vorlage das Zivildienstgesetz ist in Biberstein mit 59,9 Prozent der Stimmen angenommen worden. Biberstein nimmt das Zivildienstgesetz an, der Kanton Aargau lehnt es ab."
4003,53.7,53.7,46.3,"Buchs AG","In Buchs AG wird das Zivildienstgesetz mit 53,7 Prozent angenommen. Buchs AG nimmt das Zivildienstgesetz an, der Kanton Aargau lehnt es ab."
4004,53.4,53.4,46.6,"Densbüren AG","In Densbüren wird das Zivildienstgesetz mit 53,4 Prozent angenommen. Densbüren nimmt das Zivildienstgesetz an, der Kanton Aargau lehnt es ab."
4005,37.6,37.6,62.4,"Erlinsbach AG","62,4 Prozent der Stimmbürgerinnen und Stimmbürger von Erlinsbach AG haben das Zivildienstgesetz abgelehnt. Sowohl Erlinsbach AG als auch der Kanton Aargau verwerfen das Zivildienstgesetz."
4006,49.4,49.4,50.6,"Gränichen AG","Gränichen hat das Zivildienstgesetz mit 50,6 Prozent Nein-Stimmen verworfen. Sowohl Gränichen als auch der Kanton Aargau verwerfen das Zivildienstgesetz."
4007,26.7,26.7,73.3,"Hirschthal AG","Hirschthal hat das Zivildienstgesetz mit 73,3 Prozent Nein-Stimmen verworfen. Sowohl Hirschthal als auch der Kanton Aargau verwerfen das Zivildienstgesetz."
4008,52.4,52.4,47.6,"Küttigen AG","In Küttigen wird das Zivildienstgesetz mit 52,4 Prozent angenommen. Küttigen nimmt das Zivildienstgesetz an, der Kanton Aargau lehnt es ab."
4009,56.2,56.2,43.8,"Muhen AG","In Muhen wird das Zivildienstgesetz mit 56,2 Prozent angenommen. Muhen nimmt das Zivildienstgesetz an, der Kanton Aargau lehnt es ab."
4010,33.8,33.8,66.2,"Oberentfelden AG","In Oberentfelden wird das Zivildienstgesetz mit 66,2 Prozent abgelehnt. Sowohl Oberentfelden als auch der Kanton Aargau verwerfen das Zivildienstgesetz."
4012,41.3,41.3,58.7,"Suhr AG","In Suhr wird das Zivildienstgesetz mit 58,7 Prozent abgelehnt. Sowohl Suhr als auch der Kanton Aargau verwerfen das Zivildienstgesetz."
4013,31,31,69,"Unterentfelden AG","Unterentfelden hat das Zivildienstgesetz mit 69 Prozent Nein-Stimmen verworfen. Sowohl Unterentfelden als auch der Kanton Aargau verwerfen das Zivildienstgesetz."
4021,34.6,34.6,65.4,"Baden AG","In Baden wird das Zivildienstgesetz mit 65,4 Prozent abgelehnt. Sowohl Baden als auch der Kanton Aargau verwerfen das Zivildienstgesetz."
4022,94.2,94.2,5.8,"Bellikon AG","Das Zivildienstgesetz erreicht in Bellikon 94,2 Prozent Ja-Stimmen. Bellikon nimmt das Zivildienstgesetz an, der Kanton Aargau lehnt es ab."
4023,63.9,63.9,36.1,"Bergdietikon AG","In Bergdietikon wird das Zivildienstgesetz mit 63,9 Prozent angenommen. Bergdietikon nimmt das Zivildienstgesetz an, der Kanton Aargau lehnt es ab."
4024,51.6,51.6,48.4,"Birmenstorf AG","Das Zivildienstgesetz erreicht in Birmenstorf AG 51,6 Prozent Ja-Stimmen. Birmenstorf AG nimmt das Zivildienstgesetz an, der Kanton Aargau lehnt es ab."
4026,24.9,24.9,75.1,"Ennetbaden AG","Ennetbaden hat das Zivildienstgesetz mit 75,1 Prozent Nein-Stimmen verworfen. Sowohl Ennetbaden als auch der Kanton Aargau verwerfen das Zivildienstgesetz."
4027,78.4,78.4,21.6,"Fislisbach AG","In Fislisbach wird das Zivildienstgesetz mit 78,4 Prozent angenommen. Fislisbach nimmt das Zivildienstgesetz an, der Kanton Aargau lehnt es ab."
4028,42.9,42.9,57.1,"Freienwil AG","Freienwil hat das Zivildienstgesetz mit 57,1 Prozent Nein-Stimmen verworfen. Sowohl Freienwil als auch der Kanton Aargau verwerfen das Zivildienstgesetz."
4029,68.4,68.4,31.6,"Gebenstorf AG","In Gebenstorf wird das Zivildienstgesetz mit 68,4 Prozent angenommen. Gebenstorf nimmt das Zivildienstgesetz an, der Kanton Aargau lehnt es ab."
4030,2.3,2.3,97.7,"Killwangen AG","97,7 Prozent der Stimmbürgerinnen und Stimmbürger von Killwangen haben das Zivildienstgesetz abgelehnt. Sowohl Killwangen als auch der Kanton Aargau verwerfen das Zivildienstgesetz."
4031,42,42,58,"Künten AG","58 Prozent der Stimmbürgerinnen und Stimmbürger von Künten haben das Zivildienstgesetz abgelehnt. Sowohl Künten als auch der Kanton Aargau verwerfen das Zivildienstgesetz."
4032,36.3,36.3,63.7,"Mägenwil AG","In Mägenwil hat das Zivildienstgesetz keine Mehrheit gefunden: 63,7 Prozent lehnen die Vorlage ab. Sowohl Mägenwil als auch der Kanton Aargau verwerfen das Zivildienstgesetz."
4033,75,75,25,"Mellingen AG","Das Zivildienstgesetz erreicht in Mellingen 75 Prozent Ja-Stimmen. Mellingen nimmt das Zivildienstgesetz an, der Kanton Aargau lehnt es ab."
4034,8.1,8.1,91.9,"Neuenhof AG","91,9 Prozent der Stimmbürgerinnen und Stimmbürger von Neuenhof haben das Zivildienstgesetz abgelehnt. Sowohl Neuenhof als auch der Kanton Aargau verwerfen das Zivildienstgesetz."
4035,41,41,59,"Niederrohrdorf AG","In Niederrohrdorf hat das Zivildienstgesetz keine Mehrheit gefunden: 59 Prozent lehnen die Vorlage ab. Sowohl Niederrohrdorf als auch der Kanton Aargau verwerfen das Zivildienstgesetz."
4037,53.5,53.5,46.5,"Oberrohrdorf AG","In Oberrohrdorf wird das Zivildienstgesetz mit 53,5 Prozent angenommen. Oberrohrdorf nimmt das Zivildienstgesetz an, der Kanton Aargau lehnt es ab."
4038,60.2,60.2,39.8,"Obersiggenthal AG","Das Zivildienstgesetz erreicht in Obersiggenthal 60,2 Prozent Ja-Stimmen. Obersiggenthal nimmt das Zivildienstgesetz an, der Kanton Aargau lehnt es ab."
4039,82.3,82.3,17.7,"Remetschwil AG","In Remetschwil ist das Zivildienstgesetz mit 82,3 Prozent der Stimmen angenommen worden. Remetschwil nimmt das Zivildienstgesetz an, der Kanton Aargau lehnt es ab."
4040,64.5,64.5,35.5,"Spreitenbach AG","In Spreitenbach ist das Zivildienstgesetz mit 64,5 Prozent der Stimmen angenommen worden. Spreitenbach nimmt das Zivildienstgesetz an, der Kanton Aargau lehnt es ab."
4041,50.2,50.2,49.8,"Stetten AG","In Stetten AG ist das Zivildienstgesetz mit 50,2 Prozent der Stimmen angenommen worden. Stetten AG nimmt das Zivildienstgesetz an, der Kanton Aargau lehnt es ab."
4044,92.2,92.2,7.8,"Untersiggenthal AG","Das Zivildienstgesetz erreicht in Untersiggenthal 92,2 Prozent Ja-Stimmen. Untersiggenthal nimmt das Zivildienstgesetz an, der Kanton Aargau lehnt es ab."
4045,38.5,38.5,61.5,"Wettingen AG","Nein zum Zivildienstgesetz in Wettingen: 61,5 Prozent. Sowohl Wettingen als auch der Kanton Aargau verwerfen das Zivildienstgesetz."
4046,57.7,57.7,42.3,"Wohlenschwil AG","In Wohlenschwil wird das Zivildienstgesetz mit 57,7 Prozent angenommen. Wohlenschwil nimmt das Zivildienstgesetz an, der Kanton Aargau lehnt es ab."
4047,13.5,13.5,86.5,"Würenlingen AG","In Würenlingen hat das Zivildienstgesetz keine Mehrheit gefunden: 86,5 Prozent lehnen die Vorlage ab. Sowohl Würenlingen als auch der Kanton Aargau verwerfen das Zivildienstgesetz."
4048,37.8,37.8,62.2,"Würenlos AG","In Würenlos wird das Zivildienstgesetz mit 62,2 Prozent abgelehnt. Sowohl Würenlos als auch der Kanton Aargau verwerfen das Zivildienstgesetz."
4049,46.8,46.8,53.2,"Ehrendingen AG","Nein zum Zivildienstgesetz in Ehrendingen: 53,2 Prozent. Sowohl Ehrendingen als auch der Kanton Aargau verwerfen das Zivildienstgesetz."
4061,64.4,64.4,35.6,"Arni AG","In Arni AG ist das Zivildienstgesetz mit 64,4 Prozent der Stimmen angenommen worden. Arni AG nimmt das Zivildienstgesetz an, der Kanton Aargau lehnt es ab."
4062,46,46,54,"Berikon AG","Nein zum Zivildienstgesetz in Berikon: 54 Prozent. Sowohl Berikon als auch der Kanton Aargau verwerfen das Zivildienstgesetz."
4063,86.2,86.2,13.8,"Bremgarten AG","In Bremgarten AG wird das Zivildienstgesetz mit 86,2 Prozent angenommen. Bremgarten AG nimmt das Zivildienstgesetz an, der Kanton Aargau lehnt es ab."
4064,76.3,76.3,23.7,"Büttikon AG","Das Zivildienstgesetz erreicht in Büttikon 76,3 Prozent Ja-Stimmen. Büttikon nimmt das Zivildienstgesetz an, der Kanton Aargau lehnt es ab."
4065,53.9,53.9,46.1,"Dottikon AG","Das Zivildienstgesetz erreicht in Dottikon 53,9 Prozent Ja-Stimmen. Dottikon nimmt das Zivildienstgesetz an, der Kanton Aargau lehnt es ab."
4066,87.4,87.4,12.6,"Eggenwil AG","Das Zivildienstgesetz erreicht in Eggenwil 87,4 Prozent Ja-Stimmen. Eggenwil nimmt das Zivildienstgesetz an, der Kanton Aargau lehnt es ab."
4067,73.3,73.3,26.7,"Fischbach-Göslikon AG","In Fischbach-Göslikon wird das Zivildienstgesetz mit 73,3 Prozent angenommen. Fischbach-Göslikon nimmt das Zivildienstgesetz an, der Kanton Aargau lehnt es ab."
4068,57.2,57.2,42.8,"Hägglingen AG","Die Vorlage das Zivildienstgesetz ist in Hägglingen mit 57,2 Prozent der Stimmen angenommen worden. Hägglingen nimmt das Zivildienstgesetz an, der Kanton Aargau lehnt es ab."
4071,77.6,77.6,22.4,"Jonen AG","In Jonen wird das Zivildienstgesetz mit 77,6 Prozent angenommen. Jonen nimmt das Zivildienstgesetz an, der Kanton Aargau lehnt es ab."
4072,66.6,66.6,33.4,"Niederwil AG","In Niederwil AG ist das Zivildienstgesetz mit 66,6 Prozent der Stimmen angenommen worden. Niederwil AG nimmt das Zivildienstgesetz an, der Kanton Aargau lehnt es ab."
4073,17.8,17.8,82.2,"Oberlunkhofen AG","Oberlunkhofen hat das Zivildienstgesetz mit 82,2 Prozent Nein-Stimmen verworfen. Sowohl Oberlunkhofen als auch der Kanton Aargau verwerfen das Zivildienstgesetz."
4074,9,9,91,"Oberwil-Lieli AG","Nein zum Zivildienstgesetz in Oberwil-Lieli: 91 Prozent. Sowohl Oberwil-Lieli als auch der Kanton Aargau verwerfen das Zivildienstgesetz."
4075,83.7,83.7,16.3,"Rudolfstetten-Friedlisberg AG","Die Vorlage das Zivildienstgesetz ist in Rudolfstetten-Friedlisberg mit 83,7 Prozent der Stimmen angenommen worden. Rudolfstetten-Friedlisberg nimmt das Zivildienstgesetz an, der Kanton Aargau lehnt es ab."
4076,74.9,74.9,25.1,"Sarmenstorf AG","Das Zivildienstgesetz erreicht in Sarmenstorf 74,9 Prozent Ja-Stimmen. Sarmenstorf nimmt das Zivildienstgesetz an, der Kanton Aargau lehnt es ab."
4077,82.2,82.2,17.8,"Tägerig AG","In Tägerig wird das Zivildienstgesetz mit 82,2 Prozent angenommen. Tägerig nimmt das Zivildienstgesetz an, der Kanton Aargau lehnt es ab."
4078,43.3,43.3,56.7,"Uezwil AG","Nein zum Zivildienstgesetz in Uezwil: 56,7 Prozent. Sowohl Uezwil als auch der Kanton Aargau verwerfen das Zivildienstgesetz."
4079,25.7,25.7,74.3,"Unterlunkhofen AG","In Unterlunkhofen wird das Zivildienstgesetz mit 74,3 Prozent abgelehnt. Sowohl Unterlunkhofen als auch der Kanton Aargau verwerfen das Zivildienstgesetz."
4080,61.7,61.7,38.3,"Villmergen AG","In Villmergen ist das Zivildienstgesetz mit 61,7 Prozent der Stimmen angenommen worden. Villmergen nimmt das Zivildienstgesetz an, der Kanton Aargau lehnt es ab."
4081,8.6,8.6,91.4,"Widen AG","Widen hat das Zivildienstgesetz mit 91,4 Prozent Nein-Stimmen verworfen. Sowohl Widen als auch der Kanton Aargau verwerfen das Zivildienstgesetz."
4082,66.7,66.7,33.3,"Wohlen AG","In Wohlen AG wird das Zivildienstgesetz mit 66,7 Prozent angenommen. Wohlen AG nimmt das Zivildienstgesetz an, der Kanton Aargau lehnt es ab."
4083,60.8,60.8,39.2,"Zufikon AG","In Zufikon wird das Zivildienstgesetz mit 60,8 Prozent angenommen. Zufikon nimmt das Zivildienstgesetz an, der Kanton Aargau lehnt es ab."
4084,68.9,68.9,31.1,"Islisberg AG","Die Vorlage das Zivildienstgesetz ist in Islisberg mit 68,9 Prozent der Stimmen angenommen worden. Islisberg nimmt das Zivildienstgesetz an, der Kanton Aargau lehnt es ab."
4091,50.5,50.5,49.5,"Auenstein AG","In Auenstein wird das Zivildienstgesetz mit 50,5 Prozent angenommen. Auenstein nimmt das Zivildienstgesetz an, der Kanton Aargau lehnt es ab."
4092,52.9,52.9,47.1,"Birr AG","Die Vorlage das Zivildienstgesetz ist in Birr mit 52,9 Prozent der Stimmen angenommen worden. Birr nimmt das Zivildienstgesetz an, der Kanton Aargau lehnt es ab."
4093,78.3,78.3,21.7,"Birrhard AG","In Birrhard wird das Zivildienstgesetz mit 78,3 Prozent angenommen. Birrhard nimmt das Zivildienstgesetz an, der Kanton Aargau lehnt es ab."
4095,66.3,66.3,33.7,"Brugg AG","In Brugg wird das Zivildienstgesetz mit 66,3 Prozent angenommen. Brugg nimmt das Zivildienstgesetz an, der Kanton Aargau lehnt es ab."
4099,98,98,2,"Habsburg AG","In Habsburg wird das Zivildienstgesetz mit 98 Prozent angenommen. Habsburg nimmt das Zivildienstgesetz an, der Kanton Aargau lehnt es ab."
4100,14.8,14.8,85.2,"Hausen AG","Nein zum Zivildienstgesetz in Hausen AG: 85,2 Prozent. Sowohl Hausen AG als auch der Kanton Aargau verwerfen das Zivildienstgesetz."
4104,80.3,80.3,19.7,"Lupfig AG","In Lupfig ist das Zivildienstgesetz mit 80,3 Prozent der Stimmen angenommen worden. Lupfig nimmt das Zivildienstgesetz an, der Kanton Aargau lehnt es ab."
4105,56.6,56.6,43.4,"Mandach AG","In Mandach wird das Zivildienstgesetz mit 56,6 Prozent angenommen. Mandach nimmt das Zivildienstgesetz an, der Kanton Aargau lehnt es ab."
4106,36,36,64,"Mönthal AG","64 Prozent der Stimmbürgerinnen und Stimmbürger von Mönthal haben das Zivildienstgesetz abgelehnt. Sowohl Mönthal als auch der Kanton Aargau verwerfen das Zivildienstgesetz."
4107,75.5,75.5,24.5,"Mülligen AG","Die Vorlage das Zivildienstgesetz ist in Mülligen mit 75,5 Prozent der Stimmen angenommen worden. Mülligen nimmt das Zivildienstgesetz an, der Kanton Aargau lehnt es ab."
4110,45.3,45.3,54.7,"Remigen AG","In Remigen hat das Zivildienstgesetz keine Mehrheit gefunden: 54,7 Prozent lehnen die Vorlage ab. Sowohl Remigen als auch der Kanton Aargau verwerfen das Zivildienstgesetz."
4111,57.6,57.6,42.4,"Riniken AG","In Riniken wird das Zivildienstgesetz mit 57,6 Prozent angenommen. Riniken nimmt das Zivildienstgesetz an, der Kanton Aargau lehnt es ab."
4112,41.5,41.5,58.5,"Rüfenach AG","Rüfenach hat das Zivildienstgesetz mit 58,5 Prozent Nein-Stimmen verworfen. Sowohl Rüfenach als auch der Kanton Aargau verwerfen das Zivildienstgesetz."
4117,30,30,70,"Thalheim AG","In Thalheim AG wird das Zivildienstgesetz mit 70 Prozent abgelehnt. Sowohl Thalheim AG als auch der Kanton Aargau verwerfen das Zivildienstgesetz."
4120,61.5,61.5,38.5,"Veltheim AG","In Veltheim AG ist das Zivildienstgesetz mit 61,5 Prozent der Stimmen angenommen worden. Veltheim AG nimmt das Zivildienstgesetz an, der Kanton Aargau lehnt es ab."
4121,2.5,2.5,97.5,"Villigen AG","Villigen hat das Zivildienstgesetz mit 97,5 Prozent Nein-Stimmen verworfen. Sowohl Villigen als auch der Kanton Aargau verwerfen das Zivildienstgesetz."
4123,44.9,44.9,55.1,"Windisch AG","Nein zum Zivildienstgesetz in Windisch: 55,1 Prozent. Sowohl Windisch als auch der Kanton Aargau verwerfen das Zivildienstgesetz."
4124,46.1,46.1,53.9,"Bözberg AG","53,9 Prozent der Stimmbürgerinnen und Stimmbürger von Bözberg haben das Zivildienstgesetz abgelehnt. Sowohl Bözberg als auch der Kanton Aargau verwerfen das Zivildienstgesetz."
4125,64.1,64.1,35.9,"Schinznach AG","In Schinznach wird das Zivildienstgesetz mit 64,1 Prozent angenommen. Schinznach nimmt das Zivildienstgesetz an, der Kanton Aargau lehnt es ab."
4131,43.2,43.2,56.8,"Beinwil am See AG","Nein zum Zivildienstgesetz in Beinwil am See: 56,8 Prozent. Sowohl Beinwil am See als auch der Kanton Aargau verwerfen das Zivildienstgesetz."
4132,50.2,50.2,49.8,"Birrwil AG","Die Vorlage das Zivildienstgesetz ist in Birrwil mit 50,2 Prozent der Stimmen angenommen worden. Birrwil nimmt das Zivildienstgesetz an, der Kanton Aargau lehnt es ab."
4134,0.2,0.2,99.8,"Dürrenäsch AG","Bei der Ablehnung der Zivildienstgesetz steht Dürrenäsch landesweit an dritter Stelle, der Nein-Anteil liegt bei 99,8 Prozent. Dürrenäsch verzeichnet im Kanton Aargau den höchsten Nein-Anteil zum Zivildienstgesetz."
4135,32.9,32.9,67.1,"Gontenschwil AG","In Gontenschwil hat das Zivildienstgesetz keine Mehrheit gefunden: 67,1 Prozent lehnen die Vorlage ab. Sowohl Gontenschwil als auch der Kanton Aargau verwerfen das Zivildienstgesetz."
4136,48.1,48.1,51.9,"Holziken AG","Nein zum Zivildienstgesetz in Holziken: 51,9 Prozent. Sowohl Holziken als auch der Kanton Aargau verwerfen das Zivildienstgesetz."
4137,55.1,55.1,44.9,"Leimbach AG","Die Vorlage das Zivildienstgesetz ist in Leimbach AG mit 55,1 Prozent der Stimmen angenommen worden. Leimbach AG nimmt das Zivildienstgesetz an, der Kanton Aargau lehnt es ab."
4138,76,76,24,"Leutwil AG","In Leutwil ist das Zivildienstgesetz mit 76 Prozent der Stimmen angenommen worden. Leutwil nimmt das Zivildienstgesetz an, der Kanton Aargau lehnt es ab."
4139,76.7,76.7,23.3,"Menziken AG","In Menziken wird das Zivildienstgesetz mit 76,7 Prozent angenommen. Menziken nimmt das Zivildienstgesetz an, der Kanton Aargau lehnt es ab."
4140,64.1,64.1,35.9,"Oberkulm AG","In Oberkulm wird das Zivildienstgesetz mit 64,1 Prozent angenommen. Oberkulm nimmt das Zivildienstgesetz an, der Kanton Aargau lehnt es ab."
4141,67,67,33,"Reinach AG","In Reinach AG wird das Zivildienstgesetz mit 67 Prozent angenommen. Reinach AG nimmt das Zivildienstgesetz an, der Kanton Aargau lehnt es ab."
4142,73.8,73.8,26.2,"Schlossrued AG","In Schlossrued wird das Zivildienstgesetz mit 73,8 Prozent angenommen. Schlossrued nimmt das Zivildienstgesetz an, der Kanton Aargau lehnt es ab."
4143,25.2,25.2,74.8,"Schmiedrued AG","74,8 Prozent der Stimmbürgerinnen und Stimmbürger von Schmiedrued haben das Zivildienstgesetz abgelehnt. Sowohl Schmiedrued als auch der Kanton Aargau verwerfen das Zivildienstgesetz."
4144,70.6,70.6,29.4,"Schöftland AG","Das Zivildienstgesetz erreicht in Schöftland 70,6 Prozent Ja-Stimmen. Schöftland nimmt das Zivildienstgesetz an, der Kanton Aargau lehnt es ab."
4145,23.5,23.5,76.5,"Teufenthal AG","Nein zum Zivildienstgesetz in Teufenthal AG: 76,5 Prozent. Sowohl Teufenthal AG als auch der Kanton Aargau verwerfen das Zivildienstgesetz."
