"ID","Gemeinde_color","Ja_Stimmen_In_Prozent","Nein_Stimmen_In_Prozent","Gemeinde_de","Text_de"
1701,64.3,64.3,35.7,"Baar ZG","64,3 Prozent der Stimmbürgerinnen und Stimmbürger von Baar haben sich für die Initiative ""Keine 10-Millionen-Schweiz"" ausgesprochen. Mit diesem Ergebnis wechselt Baar ins Ja-Lager. Im Jahr 2020 hatte die Gemeinde die Zuwanderungsinitiative noch mit 61 Prozent der Stimmen abgelehnt."
1702,97,97,3,"Cham ZG","Mit 97 Prozent befürworten die Stimmberechtigten von Cham die Initiative ""Keine 10-Millionen-Schweiz"". Mit diesem Ergebnis wechselt Cham ins Ja-Lager. Im Jahr 2020 hatte die Gemeinde die Zuwanderungsinitiative noch mit 61,6 Prozent der Stimmen abgelehnt."
1703,69.2,69.2,30.8,"Hünenberg ZG","Mit 69,2 Prozent Ja-Stimmen hat eine Mehrheit der Stimmberechtigten in Hünenberg der Initiative ""Keine 10-Millionen-Schweiz"" zugestimmt. Mit diesem Ergebnis wechselt Hünenberg ins Ja-Lager. Im Jahr 2020 hatte die Gemeinde die Zuwanderungsinitiative noch mit 63,6 Prozent der Stimmen abgelehnt."
1704,57.4,57.4,42.6,"Menzingen ZG","57,4 Prozent der Stimmbürgerinnen und Stimmbürger von Menzingen haben sich für die Initiative ""Keine 10-Millionen-Schweiz"" ausgesprochen. Die Unterstützung für die Initiative ""Keine 10-Millionen-Schweiz!» hat in Menzingen gegenüber der Zuwanderungsinitiative im Jahr 2020 zugenommen. Bei jener Abstimmung hatten 51,6 Prozent der Abstimmenden der Gemeinde die Vorlage angenommen."
1705,67.9,67.9,32.1,"Neuheim ZG","Mit 67,9 Prozent Ja-Stimmen hat eine Mehrheit der Stimmberechtigten in Neuheim der Initiative ""Keine 10-Millionen-Schweiz"" zugestimmt. Mit diesem Ergebnis wechselt Neuheim ins Ja-Lager. Im Jahr 2020 hatte die Gemeinde die Zuwanderungsinitiative noch mit 51,1 Prozent der Stimmen abgelehnt."
1706,82,82,18,"Oberägeri ZG","Mit 82 Prozent befürworten die Stimmberechtigten von Oberägeri die Initiative ""Keine 10-Millionen-Schweiz"". Die Unterstützung für die Initiative ""Keine 10-Millionen-Schweiz!» hat in Oberägeri gegenüber der Zuwanderungsinitiative im Jahr 2020 zugenommen. Bei jener Abstimmung hatten 52 Prozent der Abstimmenden der Gemeinde die Vorlage angenommen."
1707,56.2,56.2,43.8,"Risch ZG","In Risch erhält die Initiative ""Keine 10-Millionen-Schweiz"" 56,2 Prozent Zustimmung. Mit diesem Ergebnis wechselt Risch ins Ja-Lager. Im Jahr 2020 hatte die Gemeinde die Zuwanderungsinitiative noch mit 55,9 Prozent der Stimmen abgelehnt."
1708,73.6,73.6,26.4,"Steinhausen ZG","Mit 73,6 Prozent befürworten die Stimmberechtigten von Steinhausen die Initiative ""Keine 10-Millionen-Schweiz"". Mit diesem Ergebnis wechselt Steinhausen ins Ja-Lager. Im Jahr 2020 hatte die Gemeinde die Zuwanderungsinitiative noch mit 64,2 Prozent der Stimmen abgelehnt."
1709,14.7,14.7,85.3,"Unterägeri ZG","In Unterägeri ist die Initiative ""Keine 10-Millionen-Schweiz"" mit 85,3 Prozent der Stimmen gescheitert. Die Ablehnung der Initiative ""Keine 10-Millionen-Schweiz!» ist stärker als jene zur Zuwanderungsinitiative im Jahr 2020. Der Nein-Anteil in Unterägeri lag damals bei 54,4 Prozent."
1710,53.3,53.3,46.7,"Walchwil ZG","Mit 53,3 Prozent befürworten die Stimmberechtigten von Walchwil die Initiative ""Keine 10-Millionen-Schweiz"". Mit diesem Ergebnis wechselt Walchwil ins Ja-Lager. Im Jahr 2020 hatte die Gemeinde die Zuwanderungsinitiative noch mit 50,8 Prozent der Stimmen abgelehnt."
1711,60.6,60.6,39.4,"Zug ZG","Mit 60,6 Prozent Ja-Stimmen hat eine Mehrheit der Stimmberechtigten in Zug der Initiative ""Keine 10-Millionen-Schweiz"" zugestimmt. Mit diesem Ergebnis wechselt Zug ins Ja-Lager. Im Jahr 2020 hatte die Gemeinde die Zuwanderungsinitiative noch mit 67 Prozent der Stimmen abgelehnt."
