"ID","Gemeinde_color","Ja_Stimmen_In_Prozent","Nein_Stimmen_In_Prozent","Gemeinde_fr","Text_fr"
1,"deux fois non",38.7,61.3,"Aeugst am Albis (ZH)",
2,"contre-proposition oui",53.2,46.8,"Affoltern am Albis (ZH)",
3,"deux fois non",20.2,79.8,"Bonstetten (ZH)",
4,"initiative oui",83.4,16.6,"Hausen am Albis (ZH)",
5,"contre-proposition oui",31.3,68.7,"Hedingen (ZH)",
6,"deux fois non",41,59,"Kappel am Albis (ZH)",
7,"contre-proposition oui",31.8,68.2,"Knonau (ZH)",
8,"deux fois non",40.9,59.1,"Maschwanden (ZH)",
9,"contre-proposition oui",2.8,97.2,"Mettmenstetten (ZH)",
10,"initiative oui",77.1,22.9,"Obfelden (ZH)",
11,"initiative oui",60.7,39.3,"Ottenbach (ZH)",
12,"deux fois non",39,61,"Rifferswil (ZH)",
13,"deux fois non",49,51,"Stallikon (ZH)",
14,"initiative oui",60.4,39.6,"Wettswil am Albis (ZH)",
22,"contre-proposition oui",31.2,68.8,"Benken (ZH)",
23,"contre-proposition oui",40.7,59.3,"Berg am Irchel (ZH)",
24,"contre-proposition oui",32.7,67.3,"Buch am Irchel (ZH)",
25,"initiative oui",90.8,9.2,"Dachsen (ZH)",
26,"deux fois non",44.7,55.3,"Dorf (ZH)",
27,"contre-proposition oui",24.1,75.9,"Feuerthalen (ZH)",
28,"contre-proposition oui",30.3,69.7,"Flaach (ZH)",
29,"contre-proposition oui",29.5,70.5,"Flurlingen (ZH)",
31,"deux fois non",33.3,66.7,"Henggart (ZH)",
33,"initiative oui",68,32,"Kleinandelfingen (ZH)",
34,"initiative oui",73.3,26.7,"Laufen-Uhwiesen (ZH)",
35,"contre-proposition oui",46.5,53.5,"Marthalen (ZH)",
37,"initiative oui",57.8,42.2,"Ossingen (ZH)",
38,"initiative oui",74.8,25.2,"Rheinau (ZH)",
39,"initiative oui",50,50,"Thalheim an der Thur (ZH)",
40,"initiative oui",55.6,44.4,"Trüllikon (ZH)",
41,"contre-proposition oui",22.5,77.5,"Truttikon (ZH)",
43,"deux fois non",36.9,63.1,"Volken (ZH)",
51,"initiative oui",97.5,2.5,"Bachenbülach (ZH)",
52,"contre-proposition oui",43.6,56.4,"Bassersdorf (ZH)",
53,"initiative oui",58.9,41.1,"Bülach (ZH)",
54,"contre-proposition oui",4,96,"Dietlikon (ZH)",
55,"contre-proposition oui",64,36,"Eglisau (ZH)",
56,"initiative oui",94,6,"Embrach (ZH)",
57,"initiative oui",84.6,15.4,"Freienstein-Teufen (ZH)",
58,"contre-proposition oui",40.6,59.4,"Glattfelden (ZH)",
59,"contre-proposition oui",33.6,66.4,"Hochfelden (ZH)",
60,"contre-proposition oui",7.5,92.5,"Höri (ZH)",
61,"contre-proposition oui",18.8,81.2,"Hüntwangen (ZH)",
62,"initiative oui",63.5,36.5,"Kloten (ZH)",
63,"initiative oui",53.2,46.8,"Lufingen (ZH)",
64,"initiative oui",67.4,32.6,"Nürensdorf (ZH)",
65,"initiative oui",98.1,1.9,"Oberembrach (ZH)",
66,"contre-proposition oui",47.4,52.6,"Opfikon (ZH)",
67,"deux fois non",2.3,97.7,"Rafz (ZH)",
68,"deux fois non",47.7,52.3,"Rorbas (ZH)",
69,"contre-proposition oui",29,71,"Wallisellen (ZH)",
70,"deux fois non",20.6,79.4,"Wasterkingen (ZH)",
71,"initiative oui",77.8,22.2,"Wil (ZH)",
72,"initiative oui",69.2,30.8,"Winkel (ZH)",
81,"deux fois non",34.7,65.3,"Bachs (ZH)",
82,"contre-proposition oui",6.1,93.9,"Boppelsen (ZH)",
83,"contre-proposition oui",53.3,46.7,"Buchs (ZH)",
84,"contre-proposition oui",40.2,59.8,"Dällikon (ZH)",
85,"contre-proposition oui",47.5,52.5,"Dänikon (ZH)",
86,"initiative oui",58.1,41.9,"Dielsdorf (ZH)",
