"ID","Gemeinde_color","Ja_Stimmen_In_Prozent","Nein_Stimmen_In_Prozent","Gemeinde_de","Text_de"
1,55.4,55.4,44.6,"Aeugst am Albis ZH","Mit 55,4 Prozent Ja-Stimmen hat eine Mehrheit der Stimmberechtigten in Aeugst am Albis die Wohneigentums-Initiative angenommen. Somit stimmt Aeugst am Albis im Gegensatz zum Kanton der Wohneigentums-Initiative zu."
2,33.5,33.5,66.5,"Affoltern am Albis ZH","In Affoltern am Albis hat die Wohneigentums-Initiative keine Mehrheit gefunden: 66,5 Prozent lehnen die Vorlage ab. Affoltern am Albis stimmt wie der Kanton Zürich Nein zur Wohneigentums-Initiative."
3,88.4,88.4,11.6,"Bonstetten ZH","Mit 88,4 Prozent Ja-Stimmen hat eine Mehrheit der Stimmberechtigten in Bonstetten die Wohneigentums-Initiative angenommen. Somit stimmt Bonstetten im Gegensatz zum Kanton der Wohneigentums-Initiative zu."
4,53.3,53.3,46.7,"Hausen am Albis ZH","53,3 Prozent der Stimmbürgerinnen und Stimmbürger von Hausen am Albis haben sich für die Wohneigentums-Initiative ausgesprochen. Somit stimmt Hausen am Albis im Gegensatz zum Kanton der Wohneigentums-Initiative zu."
5,19.9,19.9,80.1,"Hedingen ZH","Die Wohneigentums-Initiative erreicht in Hedingen 80,1 Prozent Nein-Stimmen. Hedingen stimmt wie der Kanton Zürich Nein zur Wohneigentums-Initiative."
6,34.9,34.9,65.1,"Kappel am Albis ZH","In Kappel am Albis hat die Wohneigentums-Initiative keine Mehrheit gefunden: 65,1 Prozent lehnen die Vorlage ab. Kappel am Albis stimmt wie der Kanton Zürich Nein zur Wohneigentums-Initiative."
7,68.1,68.1,31.9,"Knonau ZH","68,1 Prozent der Stimmbürgerinnen und Stimmbürger von Knonau haben sich für die Wohneigentums-Initiative ausgesprochen. Somit stimmt Knonau im Gegensatz zum Kanton der Wohneigentums-Initiative zu."
8,30.1,30.1,69.9,"Maschwanden ZH","In Maschwanden hat die Wohneigentums-Initiative keine Mehrheit gefunden: 69,9 Prozent lehnen die Vorlage ab. Maschwanden stimmt wie der Kanton Zürich Nein zur Wohneigentums-Initiative."
9,51,51,49,"Mettmenstetten ZH","51 Prozent der Stimmbürgerinnen und Stimmbürger von Mettmenstetten haben sich für die Wohneigentums-Initiative ausgesprochen. Somit stimmt Mettmenstetten im Gegensatz zum Kanton der Wohneigentums-Initiative zu."
10,4,4,96,"Obfelden ZH","In Obfelden hat die Wohneigentums-Initiative keine Mehrheit gefunden: 96 Prozent lehnen die Vorlage ab. Obfelden stimmt wie der Kanton Zürich Nein zur Wohneigentums-Initiative."
11,50.6,50.6,49.4,"Ottenbach ZH","50,6 Prozent der Stimmbürgerinnen und Stimmbürger von Ottenbach haben sich für die Wohneigentums-Initiative ausgesprochen. Somit stimmt Ottenbach im Gegensatz zum Kanton der Wohneigentums-Initiative zu."
12,43.2,43.2,56.8,"Rifferswil ZH","Die Wohneigentums-Initiative erreicht in Rifferswil 56,8 Prozent Nein-Stimmen. Rifferswil stimmt wie der Kanton Zürich Nein zur Wohneigentums-Initiative."
13,6.7,6.7,93.3,"Stallikon ZH","In Stallikon hat die Wohneigentums-Initiative keine Mehrheit gefunden: 93,3 Prozent lehnen die Vorlage ab. Stallikon stimmt wie der Kanton Zürich Nein zur Wohneigentums-Initiative."
14,8.1,8.1,91.9,"Wettswil am Albis ZH","In Wettswil am Albis hat die Wohneigentums-Initiative keine Mehrheit gefunden: 91,9 Prozent lehnen die Vorlage ab. Wettswil am Albis stimmt wie der Kanton Zürich Nein zur Wohneigentums-Initiative."
22,54.4,54.4,45.6,"Benken ZH","54,4 Prozent der Stimmbürgerinnen und Stimmbürger von Benken ZH haben sich für die Wohneigentums-Initiative ausgesprochen. Somit stimmt Benken ZH im Gegensatz zum Kanton der Wohneigentums-Initiative zu."
23,87.8,87.8,12.2,"Berg am Irchel ZH","Mit 87,8 Prozent Ja-Stimmen hat eine Mehrheit der Stimmberechtigten in Berg am Irchel die Wohneigentums-Initiative angenommen. Somit stimmt Berg am Irchel im Gegensatz zum Kanton der Wohneigentums-Initiative zu."
24,71.6,71.6,28.4,"Buch am Irchel ZH","71,6 Prozent der Stimmbürgerinnen und Stimmbürger von Buch am Irchel haben sich für die Wohneigentums-Initiative ausgesprochen. Somit stimmt Buch am Irchel im Gegensatz zum Kanton der Wohneigentums-Initiative zu."
25,64.1,64.1,35.9,"Dachsen ZH","64,1 Prozent der Stimmbürgerinnen und Stimmbürger von Dachsen haben sich für die Wohneigentums-Initiative ausgesprochen. Somit stimmt Dachsen im Gegensatz zum Kanton der Wohneigentums-Initiative zu."
26,23.9,23.9,76.1,"Dorf ZH","In Dorf hat die Wohneigentums-Initiative keine Mehrheit gefunden: 76,1 Prozent lehnen die Vorlage ab. Dorf stimmt wie der Kanton Zürich Nein zur Wohneigentums-Initiative."
27,82.4,82.4,17.6,"Feuerthalen ZH","Mit 82,4 Prozent Ja-Stimmen hat eine Mehrheit der Stimmberechtigten in Feuerthalen die Wohneigentums-Initiative angenommen. Somit stimmt Feuerthalen im Gegensatz zum Kanton der Wohneigentums-Initiative zu."
28,55.8,55.8,44.2,"Flaach ZH","Mit 55,8 Prozent Ja-Stimmen hat eine Mehrheit der Stimmberechtigten in Flaach die Wohneigentums-Initiative angenommen. Somit stimmt Flaach im Gegensatz zum Kanton der Wohneigentums-Initiative zu."
29,68.9,68.9,31.1,"Flurlingen ZH","Mit 68,9 Prozent Ja-Stimmen hat eine Mehrheit der Stimmberechtigten in Flurlingen die Wohneigentums-Initiative angenommen. Somit stimmt Flurlingen im Gegensatz zum Kanton der Wohneigentums-Initiative zu."
31,4,4,96,"Henggart ZH","In Henggart hat die Wohneigentums-Initiative keine Mehrheit gefunden: 96 Prozent lehnen die Vorlage ab. Henggart stimmt wie der Kanton Zürich Nein zur Wohneigentums-Initiative."
33,38.7,38.7,61.3,"Kleinandelfingen ZH","Die Wohneigentums-Initiative erreicht in Kleinandelfingen 61,3 Prozent Nein-Stimmen. Kleinandelfingen stimmt wie der Kanton Zürich Nein zur Wohneigentums-Initiative."
34,85.5,85.5,14.5,"Laufen-Uhwiesen ZH","Mit 85,5 Prozent Ja-Stimmen hat eine Mehrheit der Stimmberechtigten in Laufen-Uhwiesen die Wohneigentums-Initiative angenommen. Somit stimmt Laufen-Uhwiesen im Gegensatz zum Kanton der Wohneigentums-Initiative zu."
35,87.5,87.5,12.5,"Marthalen ZH","87,5 Prozent der Stimmbürgerinnen und Stimmbürger von Marthalen haben sich für die Wohneigentums-Initiative ausgesprochen. Somit stimmt Marthalen im Gegensatz zum Kanton der Wohneigentums-Initiative zu."
37,36.3,36.3,63.7,"Ossingen ZH","Die Wohneigentums-Initiative erreicht in Ossingen 63,7 Prozent Nein-Stimmen. Ossingen stimmt wie der Kanton Zürich Nein zur Wohneigentums-Initiative."
38,91.4,91.4,8.6,"Rheinau ZH","Mit 91,4 Prozent Ja-Stimmen hat eine Mehrheit der Stimmberechtigten in Rheinau die Wohneigentums-Initiative angenommen. Somit stimmt Rheinau im Gegensatz zum Kanton der Wohneigentums-Initiative zu."
39,47.9,47.9,52.1,"Thalheim an der Thur ZH","In Thalheim an der Thur hat die Wohneigentums-Initiative keine Mehrheit gefunden: 52,1 Prozent lehnen die Vorlage ab. Thalheim an der Thur stimmt wie der Kanton Zürich Nein zur Wohneigentums-Initiative."
40,14.2,14.2,85.8,"Trüllikon ZH","In Trüllikon hat die Wohneigentums-Initiative keine Mehrheit gefunden: 85,8 Prozent lehnen die Vorlage ab. Trüllikon stimmt wie der Kanton Zürich Nein zur Wohneigentums-Initiative."
41,44.6,44.6,55.4,"Truttikon ZH","In Truttikon hat die Wohneigentums-Initiative keine Mehrheit gefunden: 55,4 Prozent lehnen die Vorlage ab. Truttikon stimmt wie der Kanton Zürich Nein zur Wohneigentums-Initiative."
43,8.6,8.6,91.4,"Volken ZH","In Volken hat die Wohneigentums-Initiative keine Mehrheit gefunden: 91,4 Prozent lehnen die Vorlage ab. Volken stimmt wie der Kanton Zürich Nein zur Wohneigentums-Initiative."
51,93.4,93.4,6.6,"Bachenbülach ZH","93,4 Prozent der Stimmbürgerinnen und Stimmbürger von Bachenbülach haben sich für die Wohneigentums-Initiative ausgesprochen. Somit stimmt Bachenbülach im Gegensatz zum Kanton der Wohneigentums-Initiative zu."
52,70,70,30,"Bassersdorf ZH","70 Prozent der Stimmbürgerinnen und Stimmbürger von Bassersdorf haben sich für die Wohneigentums-Initiative ausgesprochen. Somit stimmt Bassersdorf im Gegensatz zum Kanton der Wohneigentums-Initiative zu."
53,33.4,33.4,66.6,"Bülach ZH","Die Wohneigentums-Initiative erreicht in Bülach 66,6 Prozent Nein-Stimmen. Bülach stimmt wie der Kanton Zürich Nein zur Wohneigentums-Initiative."
54,5.5,5.5,94.5,"Dietlikon ZH","In Dietlikon hat die Wohneigentums-Initiative keine Mehrheit gefunden: 94,5 Prozent lehnen die Vorlage ab. Dietlikon stimmt wie der Kanton Zürich Nein zur Wohneigentums-Initiative."
55,82,82,18,"Eglisau ZH","82 Prozent der Stimmbürgerinnen und Stimmbürger von Eglisau haben sich für die Wohneigentums-Initiative ausgesprochen. Somit stimmt Eglisau im Gegensatz zum Kanton der Wohneigentums-Initiative zu."
56,82.8,82.8,17.2,"Embrach ZH","Mit 82,8 Prozent Ja-Stimmen hat eine Mehrheit der Stimmberechtigten in Embrach die Wohneigentums-Initiative angenommen. Somit stimmt Embrach im Gegensatz zum Kanton der Wohneigentums-Initiative zu."
57,34.2,34.2,65.8,"Freienstein-Teufen ZH","Die Wohneigentums-Initiative erreicht in Freienstein-Teufen 65,8 Prozent Nein-Stimmen. Freienstein-Teufen stimmt wie der Kanton Zürich Nein zur Wohneigentums-Initiative."
58,45,45,55,"Glattfelden ZH","In Glattfelden hat die Wohneigentums-Initiative keine Mehrheit gefunden: 55 Prozent lehnen die Vorlage ab. Glattfelden stimmt wie der Kanton Zürich Nein zur Wohneigentums-Initiative."
59,52.1,52.1,47.9,"Hochfelden ZH","52,1 Prozent der Stimmbürgerinnen und Stimmbürger von Hochfelden haben sich für die Wohneigentums-Initiative ausgesprochen. Somit stimmt Hochfelden im Gegensatz zum Kanton der Wohneigentums-Initiative zu."
60,25.2,25.2,74.8,"Höri ZH","In Höri hat die Wohneigentums-Initiative keine Mehrheit gefunden: 74,8 Prozent lehnen die Vorlage ab. Höri stimmt wie der Kanton Zürich Nein zur Wohneigentums-Initiative."
61,65,65,35,"Hüntwangen ZH","65 Prozent der Stimmbürgerinnen und Stimmbürger von Hüntwangen haben sich für die Wohneigentums-Initiative ausgesprochen. Somit stimmt Hüntwangen im Gegensatz zum Kanton der Wohneigentums-Initiative zu."
62,21.2,21.2,78.8,"Kloten ZH","Die Wohneigentums-Initiative erreicht in Kloten 78,8 Prozent Nein-Stimmen. Kloten stimmt wie der Kanton Zürich Nein zur Wohneigentums-Initiative."
63,34.5,34.5,65.5,"Lufingen ZH","In Lufingen hat die Wohneigentums-Initiative keine Mehrheit gefunden: 65,5 Prozent lehnen die Vorlage ab. Lufingen stimmt wie der Kanton Zürich Nein zur Wohneigentums-Initiative."
64,54.9,54.9,45.1,"Nürensdorf ZH","54,9 Prozent der Stimmbürgerinnen und Stimmbürger von Nürensdorf haben sich für die Wohneigentums-Initiative ausgesprochen. Somit stimmt Nürensdorf im Gegensatz zum Kanton der Wohneigentums-Initiative zu."
65,52.2,52.2,47.8,"Oberembrach ZH","52,2 Prozent der Stimmbürgerinnen und Stimmbürger von Oberembrach haben sich für die Wohneigentums-Initiative ausgesprochen. Somit stimmt Oberembrach im Gegensatz zum Kanton der Wohneigentums-Initiative zu."
66,46.1,46.1,53.9,"Opfikon ZH","In Opfikon hat die Wohneigentums-Initiative keine Mehrheit gefunden: 53,9 Prozent lehnen die Vorlage ab. Opfikon stimmt wie der Kanton Zürich Nein zur Wohneigentums-Initiative."
67,44.9,44.9,55.1,"Rafz ZH","In Rafz hat die Wohneigentums-Initiative keine Mehrheit gefunden: 55,1 Prozent lehnen die Vorlage ab. Rafz stimmt wie der Kanton Zürich Nein zur Wohneigentums-Initiative."
68,43,43,57,"Rorbas ZH","In Rorbas hat die Wohneigentums-Initiative keine Mehrheit gefunden: 57 Prozent lehnen die Vorlage ab. Rorbas stimmt wie der Kanton Zürich Nein zur Wohneigentums-Initiative."
69,59.3,59.3,40.7,"Wallisellen ZH","Mit 59,3 Prozent Ja-Stimmen hat eine Mehrheit der Stimmberechtigten in Wallisellen die Wohneigentums-Initiative angenommen. Somit stimmt Wallisellen im Gegensatz zum Kanton der Wohneigentums-Initiative zu."
70,53.4,53.4,46.6,"Wasterkingen ZH","53,4 Prozent der Stimmbürgerinnen und Stimmbürger von Wasterkingen haben sich für die Wohneigentums-Initiative ausgesprochen. Somit stimmt Wasterkingen im Gegensatz zum Kanton der Wohneigentums-Initiative zu."
