"ID","Gemeinde_color","Ja_Stimmen_In_Prozent","Nein_Stimmen_In_Prozent","Gemeinde_de","Text_de"
6601,61.6,61.6,38.4,"Aire-la-Ville GE","NA NA"
6602,55,55,45,"Anières GE","NA NA"
6603,49.8,49.8,50.2,"Avully GE","NA NA"
6604,54.1,54.1,45.9,"Avusy GE","NA NA"
6605,35.5,35.5,64.5,"Bardonnex GE","NA NA"
6606,97.6,97.6,2.4,"Bellevue GE","NA NA"
6607,97.7,97.7,2.3,"Bernex GE","NA NA"
6608,44.9,44.9,55.1,"Carouge GE","NA NA"
6609,80.9,80.9,19.1,"Cartigny GE","NA NA"
6610,75.9,75.9,24.1,"Céligny GE","NA NA"
6611,59.4,59.4,40.6,"Chancy GE","NA NA"
6612,40.4,40.4,59.6,"Chêne-Bougeries GE","NA NA"
6613,57.2,57.2,42.8,"Chêne-Bourg GE","NA NA"
6614,32.9,32.9,67.1,"Choulex GE","NA NA"
6615,48.1,48.1,51.9,"Collex-Bossy GE","NA NA"
6616,88,88,12,"Collonge-Bellerive GE","NA NA"
6617,43.7,43.7,56.3,"Cologny GE","NA NA"
6618,98.9,98.9,1.1,"Confignon GE","NA NA"
6619,59.8,59.8,40.2,"Corsier GE","NA NA"
6620,37.3,37.3,62.7,"Dardagny GE","NA NA"
6621,37.4,37.4,62.6,"Genf GE","NA NA"
6622,69.1,69.1,30.9,"Genthod GE","NA NA"
6623,68.7,68.7,31.3,"Le Grand-Saconnex GE","NA NA"
6624,19.4,19.4,80.6,"Gy GE","NA NA"
6625,35.9,35.9,64.1,"Hermance GE","NA NA"
6626,45.1,45.1,54.9,"Jussy GE","NA NA"
6627,92.1,92.1,7.9,"Laconnex GE","NA NA"
6628,9.5,9.5,90.5,"Lancy GE","NA NA"
6629,14.3,14.3,85.7,"Meinier GE","NA NA"
6630,18.4,18.4,81.6,"Meyrin GE","NA NA"
6631,70.7,70.7,29.3,"Onex GE","NA NA"
6632,40.2,40.2,59.8,"Perly-Certoux GE","NA NA"
6633,58.6,58.6,41.4,"Plan-les-Ouates GE","NA NA"
6634,33.6,33.6,66.4,"Pregny-Chambésy GE","NA NA"
6635,67.4,67.4,32.6,"Presinge GE","NA NA"
6636,50.3,50.3,49.7,"Puplinge GE","NA NA"
6637,47.8,47.8,52.2,"Russin GE","NA NA"
6638,45.9,45.9,54.1,"Satigny GE","NA NA"
6639,5.6,5.6,94.4,"Soral GE","NA NA"
6640,49.2,49.2,50.8,"Thônex GE","NA NA"
6641,54,54,46,"Troinex GE","NA NA"
6642,58.4,58.4,41.6,"Vandoeuvres GE","NA NA"
6643,90.5,90.5,9.5,"Vernier GE","NA NA"
6644,39,39,61,"Versoix GE","NA NA"
6645,59.8,59.8,40.2,"Veyrier GE","NA NA"
