"ID","Gemeinde_color","Ja_Stimmen_In_Prozent","Nein_Stimmen_In_Prozent","Gemeinde_it","Text_it"
1,1.8,1.8,98.2,"Aeugst am Albis (ZH)",
2,44.7,44.7,55.3,"Affoltern am Albis (ZH)",
3,61.9,61.9,38.1,"Bonstetten (ZH)",
4,43.3,43.3,56.7,"Hausen am Albis (ZH)",
5,48.2,48.2,51.8,"Hedingen (ZH)",
6,13.6,13.6,86.4,"Kappel am Albis (ZH)",
7,31,31,69,"Knonau (ZH)",
8,89.4,89.4,10.6,"Maschwanden (ZH)",
9,12.8,12.8,87.2,"Mettmenstetten (ZH)",
10,64.6,64.6,35.4,"Obfelden (ZH)",
11,78.6,78.6,21.4,"Ottenbach (ZH)",
12,24.8,24.8,75.2,"Rifferswil (ZH)",
13,50.7,50.7,49.3,"Stallikon (ZH)",
14,65.5,65.5,34.5,"Wettswil am Albis (ZH)",
22,31,31,69,"Benken (ZH)",
23,36.7,36.7,63.3,"Berg am Irchel (ZH)",
24,35.7,35.7,64.3,"Buch am Irchel (ZH)",
25,56.1,56.1,43.9,"Dachsen (ZH)",
26,30.8,30.8,69.2,"Dorf (ZH)",
27,52.2,52.2,47.8,"Feuerthalen (ZH)",
28,48.7,48.7,51.3,"Flaach (ZH)",
29,64.7,64.7,35.3,"Flurlingen (ZH)",
31,66.1,66.1,33.9,"Henggart (ZH)",
33,89.2,89.2,10.8,"Kleinandelfingen (ZH)",
34,86.6,86.6,13.4,"Laufen-Uhwiesen (ZH)",
35,48.4,48.4,51.6,"Marthalen (ZH)",
37,15.6,15.6,84.4,"Ossingen (ZH)",
38,43.3,43.3,56.7,"Rheinau (ZH)",
39,12.5,12.5,87.5,"Thalheim an der Thur (ZH)",
40,38.3,38.3,61.7,"Trüllikon (ZH)",
41,70.6,70.6,29.4,"Truttikon (ZH)",
43,59.4,59.4,40.6,"Volken (ZH)",
51,59.1,59.1,40.9,"Bachenbülach (ZH)",
52,87.3,87.3,12.7,"Bassersdorf (ZH)",
53,96.8,96.8,3.2,"Bülach (ZH)",
54,5.9,5.9,94.1,"Dietlikon (ZH)",
55,15,15,85,"Eglisau (ZH)",
56,28.2,28.2,71.8,"Embrach (ZH)",
57,75.4,75.4,24.6,"Freienstein-Teufen (ZH)",
58,51.9,51.9,48.1,"Glattfelden (ZH)",
59,95.9,95.9,4.1,"Hochfelden (ZH)",
60,69.9,69.9,30.1,"Höri (ZH)",
61,61.4,61.4,38.6,"Hüntwangen (ZH)",
62,81.4,81.4,18.6,"Kloten (ZH)",
63,12.5,12.5,87.5,"Lufingen (ZH)",
64,97.5,97.5,2.5,"Nürensdorf (ZH)",
65,18,18,82,"Oberembrach (ZH)",
66,62,62,38,"Opfikon (ZH)",
67,72,72,28,"Rafz (ZH)",
68,65.8,65.8,34.2,"Rorbas (ZH)",
69,70,70,30,"Wallisellen (ZH)",
70,92.5,92.5,7.5,"Wasterkingen (ZH)",
71,60.4,60.4,39.6,"Wil (ZH)",
72,52.2,52.2,47.8,"Winkel (ZH)",
81,90.8,90.8,9.2,"Bachs (ZH)",
82,22.2,22.2,77.8,"Boppelsen (ZH)",
83,48.5,48.5,51.5,"Buchs (ZH)",
84,44.3,44.3,55.7,"Dällikon (ZH)",
85,36.7,36.7,63.3,"Dänikon (ZH)",
86,85.9,85.9,14.1,"Dielsdorf (ZH)",
87,51.5,51.5,48.5,"Hüttikon (ZH)",
88,78.9,78.9,21.1,"Neerach (ZH)",
89,94.2,94.2,5.8,"Niederglatt (ZH)",
90,58.6,58.6,41.4,"Niederhasli (ZH)",
91,42.1,42.1,57.9,"Niederweningen (ZH)",
92,80.8,80.8,19.2,"Oberglatt (ZH)",
93,50.4,50.4,49.6,"Oberweningen (ZH)",
94,10.7,10.7,89.3,"Otelfingen (ZH)",
95,42.2,42.2,57.8,"Regensberg (ZH)",
96,86.6,86.6,13.4,"Regensdorf (ZH)",
97,71.5,71.5,28.5,"Rümlang (ZH)",
98,58.6,58.6,41.4,"Schleinikon (ZH)",
99,69.4,69.4,30.6,"Schöfflisdorf (ZH)",
100,74.1,74.1,25.9,"Stadel (ZH)",
101,90.4,90.4,9.6,"Steinmaur (ZH)",
102,62.5,62.5,37.5,"Weiach (ZH)",
111,87,87,13,"Bäretswil (ZH)",
112,64.4,64.4,35.6,"Bubikon (ZH)",
113,23.3,23.3,76.7,"Dürnten (ZH)",
114,6.9,6.9,93.1,"Fischenthal (ZH)",
115,23.1,23.1,76.9,"Gossau (ZH)",
116,4.8,4.8,95.2,"Grüningen (ZH)",
117,51,51,49,"Hinwil (ZH)",
118,2.5,2.5,97.5,"Rüti (ZH)",
119,57.5,57.5,42.5,"Seegräben (ZH)",
120,94.1,94.1,5.9,"Wald (ZH)",
121,98.9,98.9,1.1,"Wetzikon (ZH)",
131,62.4,62.4,37.6,"Adliswil (ZH)",
135,48.3,48.3,51.7,"Kilchberg (ZH)",
136,28.6,28.6,71.4,"Langnau am Albis (ZH)",
137,42.6,42.6,57.4,"Oberrieden (ZH)",
138,34.4,34.4,65.6,"Richterswil (ZH)",
139,52.1,52.1,47.9,"Rüschlikon (ZH)",
141,45.4,45.4,54.6,"Thalwil (ZH)",
151,42.7,42.7,57.3,"Erlenbach (ZH)",
152,41.3,41.3,58.7,"Herrliberg (ZH)",
153,69.8,69.8,30.2,"Hombrechtikon (ZH)",
154,41.9,41.9,58.1,"Küsnacht (ZH)",
155,39.9,39.9,60.1,"Männedorf (ZH)",
156,9.3,9.3,90.7,"Meilen (ZH)",
157,47.5,47.5,52.5,"Oetwil am See (ZH)",
158,42.2,42.2,57.8,"Stäfa (ZH)",
159,38.6,38.6,61.4,"Uetikon am See (ZH)",
160,95.7,95.7,4.3,"Zumikon (ZH)",
161,27.7,27.7,72.3,"Zollikon (ZH)",
172,20.6,20.6,79.4,"Fehraltorf (ZH)",
173,69.7,69.7,30.3,"Hittnau (ZH)",
176,41.6,41.6,58.4,"Lindau (ZH)",
177,39.1,39.1,60.9,"Pfäffikon (ZH)",
178,43.4,43.4,56.6,"Russikon (ZH)",
180,62.7,62.7,37.3,"Weisslingen (ZH)",
181,43.3,43.3,56.7,"Wila (ZH)",
182,61.5,61.5,38.5,"Wildberg (ZH)",
191,39.3,39.3,60.7,"Dübendorf (ZH)",
192,18.2,18.2,81.8,"Egg (ZH)",
193,67.2,67.2,32.8,"Fällanden (ZH)",
194,56,56,44,"Greifensee (ZH)",
195,60,60,40,"Maur (ZH)",
196,58.6,58.6,41.4,"Mönchaltorf (ZH)",
197,20.7,20.7,79.3,"Schwerzenbach (ZH)",
198,51.4,51.4,48.6,"Uster (ZH)",
199,41.2,41.2,58.8,"Volketswil (ZH)",
200,7.1,7.1,92.9,"Wangen-Brüttisellen (ZH)",
211,79.3,79.3,20.7,"Altikon (ZH)",
213,93.9,93.9,6.1,"Brütten (ZH)",
214,32.6,32.6,67.4,"Dägerlen (ZH)",
215,96.3,96.3,3.7,"Dättlikon (ZH)",
216,49.8,49.8,50.2,"Dinhard (ZH)",
218,17.1,17.1,82.9,"Ellikon an der Thur (ZH)",
219,39.8,39.8,60.2,"Elsau (ZH)",
220,36.6,36.6,63.4,"Hagenbuch (ZH)",
221,78.3,78.3,21.7,"Hettlingen (ZH)",
223,50.6,50.6,49.4,"Neftenbach (ZH)",
224,39.1,39.1,60.9,"Pfungen (ZH)",
225,52.9,52.9,47.1,"Rickenbach (ZH)",
226,27.7,27.7,72.3,"Schlatt (ZH)",
227,1.7,1.7,98.3,"Seuzach (ZH)",
228,31.4,31.4,68.6,"Turbenthal (ZH)",
230,57.1,57.1,42.9,"Winterthour (ZH)",
231,46.7,46.7,53.3,"Zell (ZH)",
241,72.5,72.5,27.5,"Aesch (ZH)",
242,48.6,48.6,51.4,"Birmensdorf (ZH)",
243,53.1,53.1,46.9,"Dietikon (ZH)",
244,19.4,19.4,80.6,"Geroldswil (ZH)",
245,42.7,42.7,57.3,"Oberengstringen (ZH)",
246,98.6,98.6,1.4,"Oetwil an der Limmat (ZH)",
247,62.8,62.8,37.2,"Schlieren (ZH)",
248,98.5,98.5,1.5,"Uitikon (ZH)",
249,20,20,80,"Unterengstringen (ZH)",
250,50.6,50.6,49.4,"Urdorf (ZH)",
251,51.3,51.3,48.7,"Weiningen (ZH)",
261,73.9,73.9,26.1,"Zurigo (ZH)",
291,41.9,41.9,58.1,"Andelfingen (ZH)",
292,62.1,62.1,37.9,"Stammheim (ZH)",
293,7.4,7.4,92.6,"Wädenswil (ZH)",
294,41.6,41.6,58.4,"Elgg (ZH)",
295,47,47,53,"Horgen (ZH)",
296,69.8,69.8,30.2,"Illnau-Effretikon (ZH)",
297,24.5,24.5,75.5,"Bauma (ZH)",
298,34.3,34.3,65.7,"Wiesendangen (ZH)",
