"ID","Gemeinde_color","Ja_Stimmen_In_Prozent","Nein_Stimmen_In_Prozent","Gemeinde_it","Text_it"
6601,67.3,67.3,32.7,"Aire-la-Ville (GE)","NA NA"
6602,78.9,78.9,21.1,"Anières (GE)","NA NA"
6603,52.1,52.1,47.9,"Avully (GE)","NA NA"
6604,52.8,52.8,47.2,"Avusy (GE)","NA NA"
6605,21.4,21.4,78.6,"Bardonnex (GE)","NA NA"
6606,46.4,46.4,53.6,"Bellevue (GE)","NA NA"
6607,40.8,40.8,59.2,"Bernex (GE)","NA NA"
6608,82.5,82.5,17.5,"Carouge (GE)","NA NA"
6609,14.5,14.5,85.5,"Cartigny (GE)","NA NA"
6610,29.5,29.5,70.5,"Céligny (GE)","NA NA"
6611,32.4,32.4,67.6,"Chancy (GE)","NA NA"
6612,33.4,33.4,66.6,"Chêne-Bougeries (GE)","NA NA"
6613,15.9,15.9,84.1,"Chêne-Bourg (GE)","NA NA"
6614,88.3,88.3,11.7,"Choulex (GE)","NA NA"
6615,78.6,78.6,21.4,"Collex-Bossy (GE)","NA NA"
6616,24,24,76,"Collonge-Bellerive (GE)","NA NA"
6617,18.4,18.4,81.6,"Cologny (GE)","NA NA"
6618,23.5,23.5,76.5,"Confignon (GE)","NA NA"
6619,87.4,87.4,12.6,"Corsier (GE)","NA NA"
6620,73.4,73.4,26.6,"Dardagny (GE)","NA NA"
6621,72.1,72.1,27.9,"Ginevra (GE)","NA NA"
6622,79.9,79.9,20.1,"Genthod (GE)","NA NA"
6623,61.7,61.7,38.3,"Le Grand-Saconnex (GE)","NA NA"
6624,72.3,72.3,27.7,"Gy (GE)","NA NA"
6625,17.3,17.3,82.7,"Hermance (GE)","NA NA"
6626,54,54,46,"Jussy (GE)","NA NA"
6627,49.7,49.7,50.3,"Laconnex (GE)","NA NA"
6628,73.3,73.3,26.7,"Lancy (GE)","NA NA"
6629,83.1,83.1,16.9,"Meinier (GE)","NA NA"
6630,89.6,89.6,10.4,"Meyrin (GE)","NA NA"
6631,54.1,54.1,45.9,"Onex (GE)","NA NA"
6632,37.7,37.7,62.3,"Perly-Certoux (GE)","NA NA"
6633,77.3,77.3,22.7,"Plan-les-Ouates (GE)","NA NA"
6634,43.5,43.5,56.5,"Pregny-Chambésy (GE)","NA NA"
6635,68.4,68.4,31.6,"Presinge (GE)","NA NA"
6636,22.2,22.2,77.8,"Puplinge (GE)","NA NA"
6637,24.5,24.5,75.5,"Russin (GE)","NA NA"
6638,31.9,31.9,68.1,"Satigny (GE)","NA NA"
6639,84,84,16,"Soral (GE)","NA NA"
6640,37.1,37.1,62.9,"Thônex (GE)","NA NA"
6641,43.8,43.8,56.2,"Troinex (GE)","NA NA"
6642,60.9,60.9,39.1,"Vandoeuvres (GE)","NA NA"
6643,74.3,74.3,25.7,"Vernier (GE)","NA NA"
6644,4.8,4.8,95.2,"Versoix (GE)","NA NA"
6645,31.7,31.7,68.3,"Veyrier (GE)","NA NA"
