"ID","Gemeinde_color","Ja_Stimmen_In_Prozent","Nein_Stimmen_In_Prozent","Gemeinde_it","Text_it"
1,80.4,80.4,19.6,"Aeugst am Albis (ZH)","NA NA"
2,36.8,36.8,63.2,"Affoltern am Albis (ZH)","NA NA"
3,53.2,53.2,46.8,"Bonstetten (ZH)","NA NA"
4,94.6,94.6,5.4,"Hausen am Albis (ZH)","NA NA"
5,40.4,40.4,59.6,"Hedingen (ZH)","NA NA"
6,69,69,31,"Kappel am Albis (ZH)","NA NA"
7,4.8,4.8,95.2,"Knonau (ZH)","NA NA"
8,32.1,32.1,67.9,"Maschwanden (ZH)","NA NA"
9,72.8,72.8,27.2,"Mettmenstetten (ZH)","NA NA"
10,55.4,55.4,44.6,"Obfelden (ZH)","NA NA"
11,46.6,46.6,53.4,"Ottenbach (ZH)","NA NA"
12,55.3,55.3,44.7,"Rifferswil (ZH)","NA NA"
13,22.9,22.9,77.1,"Stallikon (ZH)","NA NA"
14,41.4,41.4,58.6,"Wettswil am Albis (ZH)","NA NA"
22,87.8,87.8,12.2,"Benken (ZH)","NA NA"
23,67.9,67.9,32.1,"Berg am Irchel (ZH)","NA NA"
24,98.1,98.1,1.9,"Buch am Irchel (ZH)","NA NA"
25,60.8,60.8,39.2,"Dachsen (ZH)","NA NA"
26,92.5,92.5,7.5,"Dorf (ZH)","NA NA"
27,61,61,39,"Feuerthalen (ZH)","NA NA"
28,0.9,0.9,99.1,"Flaach (ZH)","NA NA"
29,25.6,25.6,74.4,"Flurlingen (ZH)","NA NA"
31,37.7,37.7,62.3,"Henggart (ZH)","NA NA"
33,47.4,47.4,52.6,"Kleinandelfingen (ZH)","NA NA"
34,47.6,47.6,52.4,"Laufen-Uhwiesen (ZH)","NA NA"
35,65.2,65.2,34.8,"Marthalen (ZH)","NA NA"
37,10,10,90,"Ossingen (ZH)","NA NA"
38,44.3,44.3,55.7,"Rheinau (ZH)","NA NA"
39,49.6,49.6,50.4,"Thalheim an der Thur (ZH)","NA NA"
40,56.5,56.5,43.5,"Trüllikon (ZH)","NA NA"
41,61.7,61.7,38.3,"Truttikon (ZH)","NA NA"
43,99.3,99.3,0.7,"Volken (ZH)","NA NA"
51,29.2,29.2,70.8,"Bachenbülach (ZH)","NA NA"
52,66.3,66.3,33.7,"Bassersdorf (ZH)","NA NA"
53,84.2,84.2,15.8,"Bülach (ZH)","NA NA"
54,68,68,32,"Dietlikon (ZH)","NA NA"
55,56.7,56.7,43.3,"Eglisau (ZH)","NA NA"
56,74.6,74.6,25.4,"Embrach (ZH)","NA NA"
57,61.3,61.3,38.7,"Freienstein-Teufen (ZH)","NA NA"
58,64.7,64.7,35.3,"Glattfelden (ZH)","NA NA"
59,2,2,98,"Hochfelden (ZH)","NA NA"
60,45.2,45.2,54.8,"Höri (ZH)","NA NA"
61,69.2,69.2,30.8,"Hüntwangen (ZH)","NA NA"
62,41,41,59,"Kloten (ZH)","NA NA"
