"ID","Gemeinde_color","Ja_Stimmen_In_Prozent","Nein_Stimmen_In_Prozent","Gemeinde_fr","Text_fr"
6601,75.9,75.9,24.1,"Aire-la-Ville (GE)","Les habitants d'Aire-la-Ville ont approuvé avec 75,9 pour cent des voix l'interdiction des signes religieux ostensibles au Grand Conseil et dans les conseils municipaux. Les habitants d'Aire-la-Ville ont approuvé cette interdiction, contrairement au canton."
6602,79.4,79.4,20.6,"Anières (GE)","Les habitants d'Anières ont approuvé avec 79,4 pour cent des voix l'interdiction des signes religieux ostensibles au Grand Conseil et dans les conseils municipaux. Les habitants d'Anières ont approuvé cette interdiction, contrairement au canton."
6603,96.5,96.5,3.5,"Avully (GE)","Les habitants d'Avully acceptent par 96,5 pour cent des voix l'interdiction des signes religieux ostensibles au Grand Conseil et dans les conseils municipaux. C'est à Avully que l'interdiction des signes religieux ostensibles au Grand Conseil et dans les conseils municipaux a été le plus fortement approuvée."
6604,8.2,8.2,91.8,"Avusy (GE)","C'est non à 91,8 pour cent à l'interdiction des signes religieux ostensibles au Grand Conseil et dans les conseils municipaux à Avusy. Les habitants d'Avusy ont rejeté cette interdiction, tout comme le canton."
6605,49.9,49.9,50.1,"Bardonnex (GE)","Les habitants de Bardonnex refusent à 50,1 pour cent l'interdiction des signes religieux ostensibles au Grand Conseil et dans les conseils municipaux. Les habitants de Bardonnex ont rejeté cette interdiction, tout comme le canton."
6606,34.7,34.7,65.3,"Bellevue (GE)","Les habitants de Bellevue refusent à 65,3 pour cent l'interdiction des signes religieux ostensibles au Grand Conseil et dans les conseils municipaux. Les habitants de Bellevue ont rejeté cette interdiction, tout comme le canton."
6607,31.1,31.1,68.9,"Bernex (GE)","Les habitants de Bernex refusent à 68,9 pour cent l'interdiction des signes religieux ostensibles au Grand Conseil et dans les conseils municipaux. Les habitants de Bernex ont rejeté cette interdiction, tout comme le canton."
6608,37.8,37.8,62.2,"Carouge (GE)","Les habitants de Carouge (GE) ont refusé à 62,2 pour cent l'interdiction des signes religieux ostensibles au Grand Conseil et dans les conseils municipaux. Les habitants de Carouge (GE) ont rejeté cette interdiction, tout comme le canton."
6609,78.6,78.6,21.4,"Cartigny (GE)","C'est oui à 78,6 pour cent à Cartigny à l'interdiction des signes religieux ostensibles au Grand Conseil et dans les conseils municipaux. Les habitants de Cartigny ont approuvé cette interdiction, contrairement au canton."
6610,21.9,21.9,78.1,"Céligny (GE)","Les habitants de Céligny ont refusé à 78,1 pour cent l'interdiction des signes religieux ostensibles au Grand Conseil et dans les conseils municipaux. Les habitants de Céligny ont rejeté cette interdiction, tout comme le canton."
6611,48.1,48.1,51.9,"Chancy (GE)","Les habitants de Chancy ont refusé à 51,9 pour cent l'interdiction des signes religieux ostensibles au Grand Conseil et dans les conseils municipaux. Les habitants de Chancy ont rejeté cette interdiction, tout comme le canton."
