"ID","Gemeinde_color","Ja_Stimmen_In_Prozent","Nein_Stimmen_In_Prozent","Gemeinde_de","Text_de"
5401,19.2,19.2,80.8,"Aigle VD","NA NA"
5402,90.4,90.4,9.6,"Bex VD","NA NA"
5403,68.2,68.2,31.8,"Chessel VD","NA NA"
5404,59.2,59.2,40.8,"Corbeyrier VD","NA NA"
5405,61,61,39,"Gryon VD","NA NA"
5406,40.6,40.6,59.4,"Lavey-Morcles VD","NA NA"
5407,59.2,59.2,40.8,"Leysin VD","NA NA"
5408,43.3,43.3,56.7,"Noville VD","NA NA"
5409,64.5,64.5,35.5,"Ollon VD","NA NA"
5410,61,61,39,"Ormont-Dessous VD","NA NA"
5411,68.3,68.3,31.7,"Ormont-Dessus VD","NA NA"
5412,49.7,49.7,50.3,"Rennaz VD","NA NA"
5413,60.4,60.4,39.6,"Roche VD","NA NA"
5414,58.9,58.9,41.1,"Villeneuve VD","NA NA"
5415,28.4,28.4,71.6,"Yvorne VD","NA NA"
5422,66.7,66.7,33.3,"Aubonne VD","NA NA"
5423,47.6,47.6,52.4,"Ballens VD","NA NA"
5424,90.7,90.7,9.3,"Berolle VD","NA NA"
5425,14.3,14.3,85.7,"Bière VD","NA NA"
5426,79.7,79.7,20.3,"Bougy-Villars VD","NA NA"
5427,50.7,50.7,49.3,"Féchy VD","NA NA"
5428,48.5,48.5,51.5,"Gimel VD","NA NA"
5429,10.1,10.1,89.9,"Longirod VD","NA NA"
5430,79,79,21,"Marchissy VD","NA NA"
5431,52.2,52.2,47.8,"Mollens VD","NA NA"
5434,51.5,51.5,48.5,"Saint-George VD","NA NA"
5435,78.3,78.3,21.7,"Saint-Livres VD","NA NA"
5436,28.3,28.3,71.7,"Saint-Oyens VD","NA NA"
5437,36.9,36.9,63.1,"Saubraz VD","NA NA"
5451,71.6,71.6,28.4,"Avenches VD","NA NA"
5456,54.9,54.9,45.1,"Cudrefin VD","NA NA"
5458,14.9,14.9,85.1,"Faoug VD","NA NA"
5464,31.3,31.3,68.7,"Vully-les-Lacs VD","NA NA"
5471,46.8,46.8,53.2,"Bettens VD","NA NA"
5472,83.9,83.9,16.1,"Bournens VD","NA NA"
5473,58.4,58.4,41.6,"Boussens VD","NA NA"
5474,15,15,85,"La Chaux (Cossonay) VD","NA NA"
5475,46.8,46.8,53.2,"Chavannes-le-Veyron VD","NA NA"
5476,59,59,41,"Chevilly VD","NA NA"
