"ID","Gemeinde_color","Ja_Stimmen_In_Prozent","Nein_Stimmen_In_Prozent","Gemeinde_fr","Text_fr"
1,55.4,55.4,44.6,"Aeugst am Albis (ZH)","NA NA"
2,33.5,33.5,66.5,"Affoltern am Albis (ZH)","NA NA"
3,88.4,88.4,11.6,"Bonstetten (ZH)","NA NA"
4,53.3,53.3,46.7,"Hausen am Albis (ZH)","NA NA"
5,19.9,19.9,80.1,"Hedingen (ZH)","NA NA"
6,34.9,34.9,65.1,"Kappel am Albis (ZH)","NA NA"
7,68.1,68.1,31.9,"Knonau (ZH)","NA NA"
8,30.1,30.1,69.9,"Maschwanden (ZH)","NA NA"
9,51,51,49,"Mettmenstetten (ZH)","NA NA"
10,4,4,96,"Obfelden (ZH)","NA NA"
11,50.6,50.6,49.4,"Ottenbach (ZH)","NA NA"
12,43.2,43.2,56.8,"Rifferswil (ZH)","NA NA"
13,6.7,6.7,93.3,"Stallikon (ZH)","NA NA"
14,8.1,8.1,91.9,"Wettswil am Albis (ZH)","NA NA"
22,54.4,54.4,45.6,"Benken (ZH)","NA NA"
23,87.8,87.8,12.2,"Berg am Irchel (ZH)","NA NA"
24,71.6,71.6,28.4,"Buch am Irchel (ZH)","NA NA"
25,64.1,64.1,35.9,"Dachsen (ZH)","NA NA"
26,23.9,23.9,76.1,"Dorf (ZH)","NA NA"
27,82.4,82.4,17.6,"Feuerthalen (ZH)","NA NA"
28,55.8,55.8,44.2,"Flaach (ZH)","NA NA"
29,68.9,68.9,31.1,"Flurlingen (ZH)","NA NA"
31,4,4,96,"Henggart (ZH)","NA NA"
33,38.7,38.7,61.3,"Kleinandelfingen (ZH)","NA NA"
34,85.5,85.5,14.5,"Laufen-Uhwiesen (ZH)","NA NA"
35,87.5,87.5,12.5,"Marthalen (ZH)","NA NA"
37,36.3,36.3,63.7,"Ossingen (ZH)","NA NA"
38,91.4,91.4,8.6,"Rheinau (ZH)","NA NA"
39,47.9,47.9,52.1,"Thalheim an der Thur (ZH)","NA NA"
40,14.2,14.2,85.8,"Trüllikon (ZH)","NA NA"
41,44.6,44.6,55.4,"Truttikon (ZH)","NA NA"
43,8.6,8.6,91.4,"Volken (ZH)","NA NA"
51,93.4,93.4,6.6,"Bachenbülach (ZH)","NA NA"
52,70,70,30,"Bassersdorf (ZH)","NA NA"
53,33.4,33.4,66.6,"Bülach (ZH)","NA NA"
54,5.5,5.5,94.5,"Dietlikon (ZH)","NA NA"
55,82,82,18,"Eglisau (ZH)","NA NA"
56,82.8,82.8,17.2,"Embrach (ZH)","NA NA"
57,34.2,34.2,65.8,"Freienstein-Teufen (ZH)","NA NA"
58,45,45,55,"Glattfelden (ZH)","NA NA"
59,52.1,52.1,47.9,"Hochfelden (ZH)","NA NA"
60,25.2,25.2,74.8,"Höri (ZH)","NA NA"
61,65,65,35,"Hüntwangen (ZH)","NA NA"
62,21.2,21.2,78.8,"Kloten (ZH)","NA NA"
63,34.5,34.5,65.5,"Lufingen (ZH)","NA NA"
64,54.9,54.9,45.1,"Nürensdorf (ZH)","NA NA"
65,52.2,52.2,47.8,"Oberembrach (ZH)","NA NA"
66,46.1,46.1,53.9,"Opfikon (ZH)","NA NA"
67,44.9,44.9,55.1,"Rafz (ZH)","NA NA"
68,43,43,57,"Rorbas (ZH)","NA NA"
69,59.3,59.3,40.7,"Wallisellen (ZH)","NA NA"
70,53.4,53.4,46.6,"Wasterkingen (ZH)","NA NA"
71,42.1,42.1,57.9,"Wil (ZH)","NA NA"
72,41.8,41.8,58.2,"Winkel (ZH)","NA NA"
81,56.6,56.6,43.4,"Bachs (ZH)","NA NA"
82,76.4,76.4,23.6,"Boppelsen (ZH)","NA NA"
83,25,25,75,"Buchs (ZH)","NA NA"
84,53.1,53.1,46.9,"Dällikon (ZH)","NA NA"
85,54.5,54.5,45.5,"Dänikon (ZH)","NA NA"
86,76.5,76.5,23.5,"Dielsdorf (ZH)","NA NA"
87,65.5,65.5,34.5,"Hüttikon (ZH)","NA NA"
88,48.7,48.7,51.3,"Neerach (ZH)","NA NA"
89,37.5,37.5,62.5,"Niederglatt (ZH)","NA NA"
90,88.7,88.7,11.3,"Niederhasli (ZH)","NA NA"
91,19.1,19.1,80.9,"Niederweningen (ZH)","NA NA"
92,64.1,64.1,35.9,"Oberglatt (ZH)","NA NA"
93,80.7,80.7,19.3,"Oberweningen (ZH)","NA NA"
94,72.4,72.4,27.6,"Otelfingen (ZH)","NA NA"
95,60.6,60.6,39.4,"Regensberg (ZH)","NA NA"
96,27.1,27.1,72.9,"Regensdorf (ZH)","NA NA"
97,16.3,16.3,83.7,"Rümlang (ZH)","NA NA"
98,44,44,56,"Schleinikon (ZH)","NA NA"
99,27.7,27.7,72.3,"Schöfflisdorf (ZH)","NA NA"
100,89,89,11,"Stadel (ZH)","NA NA"
101,62.5,62.5,37.5,"Steinmaur (ZH)","NA NA"
102,9.1,9.1,90.9,"Weiach (ZH)","NA NA"
111,14.6,14.6,85.4,"Bäretswil (ZH)","NA NA"
112,46.4,46.4,53.6,"Bubikon (ZH)","NA NA"
113,31.7,31.7,68.3,"Dürnten (ZH)","NA NA"
