"ID","Gemeinde_color","Ja_Stimmen_In_Prozent","Nein_Stimmen_In_Prozent","Gemeinde_de","Text_de"
1,58.5,58.5,41.5,"Aeugst am Albis ZH","In Aeugst am Albis wird das Zivildienstgesetz mit 58,5 Prozent angenommen. Aeugst am Albis nimmt das Zivildienstgesetz an, der Kanton Zürich lehnt es ab."
2,55.6,55.6,44.4,"Affoltern am Albis ZH","In Affoltern am Albis ist das Zivildienstgesetz mit 55,6 Prozent der Stimmen angenommen worden. Affoltern am Albis nimmt das Zivildienstgesetz an, der Kanton Zürich lehnt es ab."
3,52.7,52.7,47.3,"Bonstetten ZH","In Bonstetten ist das Zivildienstgesetz mit 52,7 Prozent der Stimmen angenommen worden. Bonstetten nimmt das Zivildienstgesetz an, der Kanton Zürich lehnt es ab."
4,53.8,53.8,46.2,"Hausen am Albis ZH","In Hausen am Albis wird das Zivildienstgesetz mit 53,8 Prozent angenommen. Hausen am Albis nimmt das Zivildienstgesetz an, der Kanton Zürich lehnt es ab."
5,54.2,54.2,45.8,"Hedingen ZH","Die Vorlage das Zivildienstgesetz ist in Hedingen mit 54,2 Prozent der Stimmen angenommen worden. Hedingen nimmt das Zivildienstgesetz an, der Kanton Zürich lehnt es ab."
6,64.3,64.3,35.7,"Kappel am Albis ZH","In Kappel am Albis ist das Zivildienstgesetz mit 64,3 Prozent der Stimmen angenommen worden. Kappel am Albis nimmt das Zivildienstgesetz an, der Kanton Zürich lehnt es ab."
7,55.1,55.1,44.9,"Knonau ZH","Die Vorlage das Zivildienstgesetz ist in Knonau mit 55,1 Prozent der Stimmen angenommen worden. Knonau nimmt das Zivildienstgesetz an, der Kanton Zürich lehnt es ab."
8,49,49,51,"Maschwanden ZH","Maschwanden hat das Zivildienstgesetz mit 51 Prozent Nein-Stimmen verworfen. Sowohl Maschwanden als auch der Kanton Zürich verwerfen das Zivildienstgesetz."
9,56.7,56.7,43.3,"Mettmenstetten ZH","In Mettmenstetten wird das Zivildienstgesetz mit 56,7 Prozent angenommen. Mettmenstetten nimmt das Zivildienstgesetz an, der Kanton Zürich lehnt es ab."
10,58,58,42,"Obfelden ZH","In Obfelden wird das Zivildienstgesetz mit 58 Prozent angenommen. Obfelden nimmt das Zivildienstgesetz an, der Kanton Zürich lehnt es ab."
