"ID","Gemeinde_color","Ja_Stimmen_In_Prozent","Nein_Stimmen_In_Prozent","Gemeinde_de","Text_de"
2008,44.3,44.3,55.7,"Châtillon FR","In Châtillon FR hat das Zivildienstgesetz keine Mehrheit gefunden: 55,7 Prozent lehnen die Vorlage ab. Châtillon FR lehnt das Zivildienstgesetz ab, der Kanton Freiburg nimmt sie an."
2011,72.4,72.4,27.6,"Cugy FR","In Cugy FR ist das Zivildienstgesetz mit 72,4 Prozent der Stimmen angenommen worden. Übereinstimmend mit dem Kanton Freiburg stimmt Cugy FR dem Zivildienstgesetz zu."
2022,57.8,57.8,42.2,"Gletterens FR","In Gletterens wird das Zivildienstgesetz mit 57,8 Prozent angenommen. Übereinstimmend mit dem Kanton Freiburg stimmt Gletterens dem Zivildienstgesetz zu."
2025,27.1,27.1,72.9,"Lully FR","In Lully FR wird das Zivildienstgesetz mit 72,9 Prozent abgelehnt. Lully FR lehnt das Zivildienstgesetz ab, der Kanton Freiburg nimmt sie an."
2029,61.6,61.6,38.4,"Montagny FR","In Montagny FR wird das Zivildienstgesetz mit 61,6 Prozent angenommen. Übereinstimmend mit dem Kanton Freiburg stimmt Montagny FR dem Zivildienstgesetz zu."
2035,47.2,47.2,52.8,"Nuvilly FR","Nein zum Zivildienstgesetz in Nuvilly: 52,8 Prozent. Nuvilly lehnt das Zivildienstgesetz ab, der Kanton Freiburg nimmt sie an."
2038,3.2,3.2,96.8,"Prévondavaux FR","Nein zum Zivildienstgesetz in Prévondavaux: 96,8 Prozent. Prévondavaux lehnt das Zivildienstgesetz ab, der Kanton Freiburg nimmt sie an."
2041,68.6,68.6,31.4,"Saint-Aubin FR","Die Vorlage das Zivildienstgesetz ist in Saint-Aubin FR mit 68,6 Prozent der Stimmen angenommen worden. Übereinstimmend mit dem Kanton Freiburg stimmt Saint-Aubin FR dem Zivildienstgesetz zu."
2043,71.2,71.2,28.8,"Sévaz FR","Das Zivildienstgesetz erreicht in Sévaz 71,2 Prozent Ja-Stimmen. Übereinstimmend mit dem Kanton Freiburg stimmt Sévaz dem Zivildienstgesetz zu."
2044,84.1,84.1,15.9,"Surpierre FR","Das Zivildienstgesetz erreicht in Surpierre 84,1 Prozent Ja-Stimmen. Übereinstimmend mit dem Kanton Freiburg stimmt Surpierre dem Zivildienstgesetz zu."
2045,19.4,19.4,80.6,"Vallon FR","Vallon hat das Zivildienstgesetz mit 80,6 Prozent Nein-Stimmen verworfen. Vallon lehnt das Zivildienstgesetz ab, der Kanton Freiburg nimmt sie an."
2050,10.6,10.6,89.4,"Les Montets FR","89,4 Prozent der Stimmbürgerinnen und Stimmbürger von Les Montets haben das Zivildienstgesetz abgelehnt. Les Montets lehnt das Zivildienstgesetz ab, der Kanton Freiburg nimmt sie an."
2051,57.8,57.8,42.2,"Delley-Portalban FR","In Delley-Portalban wird das Zivildienstgesetz mit 57,8 Prozent angenommen. Übereinstimmend mit dem Kanton Freiburg stimmt Delley-Portalban dem Zivildienstgesetz zu."
2053,2.9,2.9,97.1,"Belmont-Broye FR","In Belmont-Broye wird das Zivildienstgesetz mit 97,1 Prozent abgelehnt. Belmont-Broye lehnt das Zivildienstgesetz ab, der Kanton Freiburg nimmt sie an."
2054,14.9,14.9,85.1,"Estavayer FR","Estavayer hat das Zivildienstgesetz mit 85,1 Prozent Nein-Stimmen verworfen. Estavayer lehnt das Zivildienstgesetz ab, der Kanton Freiburg nimmt sie an."
2055,54.3,54.3,45.7,"Cheyres-Châbles FR","Das Zivildienstgesetz erreicht in Cheyres-Châbles 54,3 Prozent Ja-Stimmen. Übereinstimmend mit dem Kanton Freiburg stimmt Cheyres-Châbles dem Zivildienstgesetz zu."
2056,30.7,30.7,69.3,"Fétigny-Ménières FR","In Fétigny-Ménières hat das Zivildienstgesetz keine Mehrheit gefunden: 69,3 Prozent lehnen die Vorlage ab. Fétigny-Ménières lehnt das Zivildienstgesetz ab, der Kanton Freiburg nimmt sie an."
