"ID","Gemeinde_color","Ja_Stimmen_In_Prozent","Nein_Stimmen_In_Prozent","Gemeinde_fr","Text_fr"
1,98.7,98.7,1.3,"Aeugst am Albis (ZH)",
2,9.7,9.7,90.3,"Affoltern am Albis (ZH)",
3,36.1,36.1,63.9,"Bonstetten (ZH)",
4,47.4,47.4,52.6,"Hausen am Albis (ZH)",
5,81.6,81.6,18.4,"Hedingen (ZH)",
6,74.4,74.4,25.6,"Kappel am Albis (ZH)",
7,59.6,59.6,40.4,"Knonau (ZH)",
8,5.1,5.1,94.9,"Maschwanden (ZH)",
9,49,49,51,"Mettmenstetten (ZH)",
10,36.3,36.3,63.7,"Obfelden (ZH)",
11,51.7,51.7,48.3,"Ottenbach (ZH)",
12,37.1,37.1,62.9,"Rifferswil (ZH)",
13,49.6,49.6,50.4,"Stallikon (ZH)",
14,40.5,40.5,59.5,"Wettswil am Albis (ZH)",
22,85.5,85.5,14.5,"Benken (ZH)",
23,9.5,9.5,90.5,"Berg am Irchel (ZH)",
24,53.9,53.9,46.1,"Buch am Irchel (ZH)",
25,63,63,37,"Dachsen (ZH)",
26,50.4,50.4,49.6,"Dorf (ZH)",
27,23.3,23.3,76.7,"Feuerthalen (ZH)",
28,84.3,84.3,15.7,"Flaach (ZH)",
29,78.4,78.4,21.6,"Flurlingen (ZH)",
31,87,87,13,"Henggart (ZH)",
33,82.1,82.1,17.9,"Kleinandelfingen (ZH)",
34,55,55,45,"Laufen-Uhwiesen (ZH)",
35,47.5,47.5,52.5,"Marthalen (ZH)",
37,15.7,15.7,84.3,"Ossingen (ZH)",
38,40.3,40.3,59.7,"Rheinau (ZH)",
39,7.9,7.9,92.1,"Thalheim an der Thur (ZH)",
40,51.7,51.7,48.3,"Trüllikon (ZH)",
41,26.3,26.3,73.7,"Truttikon (ZH)",
43,22.8,22.8,77.2,"Volken (ZH)",
51,19.1,19.1,80.9,"Bachenbülach (ZH)",
52,36.7,36.7,63.3,"Bassersdorf (ZH)",
53,54.7,54.7,45.3,"Bülach (ZH)",
54,35.6,35.6,64.4,"Dietlikon (ZH)",
55,19.1,19.1,80.9,"Eglisau (ZH)",
56,75.9,75.9,24.1,"Embrach (ZH)",
57,50.6,50.6,49.4,"Freienstein-Teufen (ZH)",
58,56.3,56.3,43.7,"Glattfelden (ZH)",
59,48,48,52,"Hochfelden (ZH)",
60,87.5,87.5,12.5,"Höri (ZH)",
61,66.8,66.8,33.2,"Hüntwangen (ZH)",
62,56.8,56.8,43.2,"Kloten (ZH)",
63,66.2,66.2,33.8,"Lufingen (ZH)",
64,67.7,67.7,32.3,"Nürensdorf (ZH)",
65,35.3,35.3,64.7,"Oberembrach (ZH)",
66,61,61,39,"Opfikon (ZH)",
67,75.5,75.5,24.5,"Rafz (ZH)",
68,95.6,95.6,4.4,"Rorbas (ZH)",
69,76,76,24,"Wallisellen (ZH)",
70,54.8,54.8,45.2,"Wasterkingen (ZH)",
71,38.2,38.2,61.8,"Wil (ZH)",
72,85.4,85.4,14.6,"Winkel (ZH)",
81,9.1,9.1,90.9,"Bachs (ZH)",
82,41.7,41.7,58.3,"Boppelsen (ZH)",
83,47.5,47.5,52.5,"Buchs (ZH)",
84,16.6,16.6,83.4,"Dällikon (ZH)",
85,55,55,45,"Dänikon (ZH)",
86,76.3,76.3,23.7,"Dielsdorf (ZH)",
87,55.7,55.7,44.3,"Hüttikon (ZH)",
88,75.7,75.7,24.3,"Neerach (ZH)",
89,64.5,64.5,35.5,"Niederglatt (ZH)",
90,87.1,87.1,12.9,"Niederhasli (ZH)",
91,48.3,48.3,51.7,"Niederweningen (ZH)",
92,49,49,51,"Oberglatt (ZH)",
93,51.6,51.6,48.4,"Oberweningen (ZH)",
94,44.6,44.6,55.4,"Otelfingen (ZH)",
95,65.7,65.7,34.3,"Regensberg (ZH)",
96,85,85,15,"Regensdorf (ZH)",
97,51.9,51.9,48.1,"Rümlang (ZH)",
98,63.7,63.7,36.3,"Schleinikon (ZH)",
99,39.6,39.6,60.4,"Schöfflisdorf (ZH)",
100,44.6,44.6,55.4,"Stadel (ZH)",
101,53.3,53.3,46.7,"Steinmaur (ZH)",
102,6.8,6.8,93.2,"Weiach (ZH)",
111,79.9,79.9,20.1,"Bäretswil (ZH)",
112,81.3,81.3,18.7,"Bubikon (ZH)",
113,70.6,70.6,29.4,"Dürnten (ZH)",
114,61.1,61.1,38.9,"Fischenthal (ZH)",
115,54.9,54.9,45.1,"Gossau (ZH)",
116,58.5,58.5,41.5,"Grüningen (ZH)",
