"ID","Gemeinde_color","Ja_Stimmen_In_Prozent","Nein_Stimmen_In_Prozent","Gemeinde_fr","Text_fr"
1,38.7,38.7,61.3,"Aeugst am Albis (ZH)",
2,53.2,53.2,46.8,"Affoltern am Albis (ZH)",
3,20.2,20.2,79.8,"Bonstetten (ZH)",
4,83.4,83.4,16.6,"Hausen am Albis (ZH)",
5,31.3,31.3,68.7,"Hedingen (ZH)",
6,41,41,59,"Kappel am Albis (ZH)",
7,31.8,31.8,68.2,"Knonau (ZH)",
8,40.9,40.9,59.1,"Maschwanden (ZH)",
9,2.8,2.8,97.2,"Mettmenstetten (ZH)",
10,77.1,77.1,22.9,"Obfelden (ZH)",
11,60.7,60.7,39.3,"Ottenbach (ZH)",
12,39,39,61,"Rifferswil (ZH)",
13,49,49,51,"Stallikon (ZH)",
14,60.4,60.4,39.6,"Wettswil am Albis (ZH)",
22,31.2,31.2,68.8,"Benken (ZH)",
23,40.7,40.7,59.3,"Berg am Irchel (ZH)",
24,32.7,32.7,67.3,"Buch am Irchel (ZH)",
25,90.8,90.8,9.2,"Dachsen (ZH)",
26,44.7,44.7,55.3,"Dorf (ZH)",
27,24.1,24.1,75.9,"Feuerthalen (ZH)",
28,30.3,30.3,69.7,"Flaach (ZH)",
29,29.5,29.5,70.5,"Flurlingen (ZH)",
31,33.3,33.3,66.7,"Henggart (ZH)",
33,68,68,32,"Kleinandelfingen (ZH)",
34,73.3,73.3,26.7,"Laufen-Uhwiesen (ZH)",
35,46.5,46.5,53.5,"Marthalen (ZH)",
37,57.8,57.8,42.2,"Ossingen (ZH)",
38,74.8,74.8,25.2,"Rheinau (ZH)",
39,50,50,50,"Thalheim an der Thur (ZH)",
40,55.6,55.6,44.4,"Trüllikon (ZH)",
41,22.5,22.5,77.5,"Truttikon (ZH)",
43,36.9,36.9,63.1,"Volken (ZH)",
51,97.5,97.5,2.5,"Bachenbülach (ZH)",
52,43.6,43.6,56.4,"Bassersdorf (ZH)",
53,58.9,58.9,41.1,"Bülach (ZH)",
54,4,4,96,"Dietlikon (ZH)",
55,64,64,36,"Eglisau (ZH)",
56,94,94,6,"Embrach (ZH)",
57,84.6,84.6,15.4,"Freienstein-Teufen (ZH)",
58,40.6,40.6,59.4,"Glattfelden (ZH)",
59,33.6,33.6,66.4,"Hochfelden (ZH)",
60,7.5,7.5,92.5,"Höri (ZH)",
61,18.8,18.8,81.2,"Hüntwangen (ZH)",
62,63.5,63.5,36.5,"Kloten (ZH)",
63,53.2,53.2,46.8,"Lufingen (ZH)",
64,67.4,67.4,32.6,"Nürensdorf (ZH)",
65,98.1,98.1,1.9,"Oberembrach (ZH)",
66,47.4,47.4,52.6,"Opfikon (ZH)",
67,2.3,2.3,97.7,"Rafz (ZH)",
68,47.7,47.7,52.3,"Rorbas (ZH)",
69,29,29,71,"Wallisellen (ZH)",
70,20.6,20.6,79.4,"Wasterkingen (ZH)",
71,77.8,77.8,22.2,"Wil (ZH)",
72,69.2,69.2,30.8,"Winkel (ZH)",
81,34.7,34.7,65.3,"Bachs (ZH)",
82,6.1,6.1,93.9,"Boppelsen (ZH)",
83,53.3,53.3,46.7,"Buchs (ZH)",
84,40.2,40.2,59.8,"Dällikon (ZH)",
85,47.5,47.5,52.5,"Dänikon (ZH)",
86,58.1,58.1,41.9,"Dielsdorf (ZH)",
87,52.6,52.6,47.4,"Hüttikon (ZH)",
88,56,56,44,"Neerach (ZH)",
89,27.3,27.3,72.7,"Niederglatt (ZH)",
90,60.3,60.3,39.7,"Niederhasli (ZH)",
91,16.8,16.8,83.2,"Niederweningen (ZH)",
92,65.1,65.1,34.9,"Oberglatt (ZH)",
93,70.5,70.5,29.5,"Oberweningen (ZH)",
94,79.7,79.7,20.3,"Otelfingen (ZH)",
95,2.2,2.2,97.8,"Regensberg (ZH)",
96,63.3,63.3,36.7,"Regensdorf (ZH)",
97,64.7,64.7,35.3,"Rümlang (ZH)",
98,57.9,57.9,42.1,"Schleinikon (ZH)",
99,96.6,96.6,3.4,"Schöfflisdorf (ZH)",
100,37.1,37.1,62.9,"Stadel (ZH)",
101,27,27,73,"Steinmaur (ZH)",
102,48.8,48.8,51.2,"Weiach (ZH)",
