"ID","Gemeinde_color","Ja_Stimmen_In_Prozent","Nein_Stimmen_In_Prozent","Gemeinde_fr","Text_fr"
5401,52,52,48,"Aigle (VD)","NA NA"
5402,14.7,14.7,85.3,"Bex (VD)","NA NA"
5403,36.2,36.2,63.8,"Chessel (VD)","NA NA"
5404,56.5,56.5,43.5,"Corbeyrier (VD)","NA NA"
5405,87.1,87.1,12.9,"Gryon (VD)","NA NA"
5406,11.1,11.1,88.9,"Lavey-Morcles (VD)","NA NA"
5407,61.9,61.9,38.1,"Leysin (VD)","NA NA"
5408,69.9,69.9,30.1,"Noville (VD)","NA NA"
5409,20,20,80,"Ollon (VD)","NA NA"
5410,74.2,74.2,25.8,"Ormont-Dessous (VD)","NA NA"
5411,31.2,31.2,68.8,"Ormont-Dessus (VD)","NA NA"
5412,74,74,26,"Rennaz (VD)","NA NA"
5413,76.2,76.2,23.8,"Roche (VD)","NA NA"
5414,39.1,39.1,60.9,"Villeneuve (VD)","NA NA"
5415,62.2,62.2,37.8,"Yvorne (VD)","NA NA"
5422,57.6,57.6,42.4,"Aubonne (VD)","NA NA"
5423,35,35,65,"Ballens (VD)","NA NA"
5424,78.7,78.7,21.3,"Berolle (VD)","NA NA"
5425,89.8,89.8,10.2,"Bière (VD)","NA NA"
5426,48.3,48.3,51.7,"Bougy-Villars (VD)","NA NA"
5427,96.3,96.3,3.7,"Féchy (VD)","NA NA"
5428,16,16,84,"Gimel (VD)","NA NA"
5429,64.7,64.7,35.3,"Longirod (VD)","NA NA"
5430,40.3,40.3,59.7,"Marchissy (VD)","NA NA"
5431,7.3,7.3,92.7,"Mollens (VD)","NA NA"
5434,50.7,50.7,49.3,"Saint-George (VD)","NA NA"
5435,73.7,73.7,26.3,"Saint-Livres (VD)","NA NA"
5436,23.2,23.2,76.8,"Saint-Oyens (VD)","NA NA"
5437,51,51,49,"Saubraz (VD)","NA NA"
5451,36.9,36.9,63.1,"Avenches (VD)","NA NA"
5456,44.1,44.1,55.9,"Cudrefin (VD)","NA NA"
5458,32.2,32.2,67.8,"Faoug (VD)","NA NA"
5464,3.9,3.9,96.1,"Vully-les-Lacs (VD)","NA NA"
5471,31,31,69,"Bettens (VD)","NA NA"
5472,88.5,88.5,11.5,"Bournens (VD)","NA NA"
5473,44.5,44.5,55.5,"Boussens (VD)","NA NA"
5474,42.7,42.7,57.3,"La Chaux (Cossonay) (VD)","NA NA"
5475,16.8,16.8,83.2,"Chavannes-le-Veyron (VD)","NA NA"
5476,57.3,57.3,42.7,"Chevilly (VD)","NA NA"
5477,9,9,91,"Cossonay (VD)","NA NA"
5479,29.5,29.5,70.5,"Cuarnens (VD)","NA NA"
5480,54,54,46,"Daillens (VD)","NA NA"
5481,9.6,9.6,90.4,"Dizy (VD)","NA NA"
5482,67,67,33,"Eclépens (VD)","NA NA"
5483,97.7,97.7,2.3,"Ferreyres (VD)","NA NA"
5484,8.9,8.9,91.1,"Gollion (VD)","NA NA"
5485,32.3,32.3,67.7,"Grancy (VD)","NA NA"
5486,94.4,94.4,5.6,"L'Isle (VD)","NA NA"
5487,83.7,83.7,16.3,"Lussery-Villars (VD)","NA NA"
5488,81.5,81.5,18.5,"Mauraz (VD)","NA NA"
5489,57.6,57.6,42.4,"Mex (VD)","NA NA"
5490,51.9,51.9,48.1,"Moiry (VD)","NA NA"
