"ID","Gemeinde_color","Ja_Stimmen_In_Prozent","Nein_Stimmen_In_Prozent","Gemeinde_it","Text_it"
6601,45.5,45.5,54.5,"Aire-la-Ville (GE)","NA NA"
6602,37.9,37.9,62.1,"Anières (GE)","NA NA"
6603,47.1,47.1,52.9,"Avully (GE)","NA NA"
6604,62.6,62.6,37.4,"Avusy (GE)","NA NA"
6605,93.9,93.9,6.1,"Bardonnex (GE)","NA NA"
6606,45.8,45.8,54.2,"Bellevue (GE)","NA NA"
6607,82.9,82.9,17.1,"Bernex (GE)","NA NA"
6608,44.4,44.4,55.6,"Carouge (GE)","NA NA"
6609,77.1,77.1,22.9,"Cartigny (GE)","NA NA"
6610,94.1,94.1,5.9,"Céligny (GE)","NA NA"
6611,47.1,47.1,52.9,"Chancy (GE)","NA NA"
6612,24.1,24.1,75.9,"Chêne-Bougeries (GE)","NA NA"
6613,38.5,38.5,61.5,"Chêne-Bourg (GE)","NA NA"
6614,24.5,24.5,75.5,"Choulex (GE)","NA NA"
6615,24,24,76,"Collex-Bossy (GE)","NA NA"
6616,68.9,68.9,31.1,"Collonge-Bellerive (GE)","NA NA"
6617,21.4,21.4,78.6,"Cologny (GE)","NA NA"
6618,19.7,19.7,80.3,"Confignon (GE)","NA NA"
6619,18.3,18.3,81.7,"Corsier (GE)","NA NA"
6620,99.5,99.5,0.5,"Dardagny (GE)","NA NA"
6621,2.4,2.4,97.6,"Ginevra (GE)","NA NA"
6622,20,20,80,"Genthod (GE)","NA NA"
6623,53.1,53.1,46.9,"Le Grand-Saconnex (GE)","NA NA"
6624,64.1,64.1,35.9,"Gy (GE)","NA NA"
6625,46.3,46.3,53.7,"Hermance (GE)","NA NA"
6626,10.5,10.5,89.5,"Jussy (GE)","NA NA"
6627,51,51,49,"Laconnex (GE)","NA NA"
6628,45.8,45.8,54.2,"Lancy (GE)","NA NA"
6629,62.2,62.2,37.8,"Meinier (GE)","NA NA"
6630,92.5,92.5,7.5,"Meyrin (GE)","NA NA"
6631,16.7,16.7,83.3,"Onex (GE)","NA NA"
6632,66.6,66.6,33.4,"Perly-Certoux (GE)","NA NA"
6633,71.8,71.8,28.2,"Plan-les-Ouates (GE)","NA NA"
6634,38.7,38.7,61.3,"Pregny-Chambésy (GE)","NA NA"
6635,92,92,8,"Presinge (GE)","NA NA"
6636,2.7,2.7,97.3,"Puplinge (GE)","NA NA"
6637,66.2,66.2,33.8,"Russin (GE)","NA NA"
6638,62.2,62.2,37.8,"Satigny (GE)","NA NA"
6639,67.2,67.2,32.8,"Soral (GE)","NA NA"
6640,38.2,38.2,61.8,"Thônex (GE)","NA NA"
6641,97.7,97.7,2.3,"Troinex (GE)","NA NA"
6642,37.3,37.3,62.7,"Vandoeuvres (GE)","NA NA"
6643,42.5,42.5,57.5,"Vernier (GE)","NA NA"
6644,45.4,45.4,54.6,"Versoix (GE)","NA NA"
6645,91.4,91.4,8.6,"Veyrier (GE)","NA NA"
