"ID","Gemeinde_color","Ja_Stimmen_In_Prozent","Nein_Stimmen_In_Prozent","Gemeinde_it","Text_it"
1,"iniziative si",63.1,36.9,"Aeugst am Albis (ZH)",
2,"controproposta si",30.9,69.1,"Affoltern am Albis (ZH)",
3,"controproposta si",34.1,65.9,"Bonstetten (ZH)",
4,"due no",4.6,95.4,"Hausen am Albis (ZH)",
5,"due no",31,69,"Hedingen (ZH)",
6,"iniziative si",82.9,17.1,"Kappel am Albis (ZH)",
7,"controproposta si",44,56,"Knonau (ZH)",
8,"controproposta si",11.5,88.5,"Maschwanden (ZH)",
9,"due no",46.9,53.1,"Mettmenstetten (ZH)",
10,"controproposta si",42,58,"Obfelden (ZH)",
11,"due no",28.6,71.4,"Ottenbach (ZH)",
12,"controproposta si",65.4,34.6,"Rifferswil (ZH)",
13,"controproposta si",55,45,"Stallikon (ZH)",
14,"iniziative si",62.5,37.5,"Wettswil am Albis (ZH)",
22,"controproposta si",42.1,57.9,"Benken (ZH)",
23,"controproposta si",24.1,75.9,"Berg am Irchel (ZH)",
24,"controproposta si",43.1,56.9,"Buch am Irchel (ZH)",
25,"iniziative si",75,25,"Dachsen (ZH)",
26,"controproposta si",38.4,61.6,"Dorf (ZH)",
27,"iniziative si",68.8,31.2,"Feuerthalen (ZH)",
28,"due no",45.1,54.9,"Flaach (ZH)",
29,"iniziative si",93.9,6.1,"Flurlingen (ZH)",
31,"iniziative si",59.1,40.9,"Henggart (ZH)",
33,"controproposta si",87.5,12.5,"Kleinandelfingen (ZH)",
34,"iniziative si",89.8,10.2,"Laufen-Uhwiesen (ZH)",
35,"iniziative si",69.2,30.8,"Marthalen (ZH)",
37,"due no",34.9,65.1,"Ossingen (ZH)",
38,"iniziative si",51.6,48.4,"Rheinau (ZH)",
39,"controproposta si",18.7,81.3,"Thalheim an der Thur (ZH)",
40,"controproposta si",47.5,52.5,"Trüllikon (ZH)",
41,"iniziative si",97.9,2.1,"Truttikon (ZH)",
43,"controproposta si",41.1,58.9,"Volken (ZH)",
51,"controproposta si",12.2,87.8,"Bachenbülach (ZH)",
52,"due no",29.5,70.5,"Bassersdorf (ZH)",
53,"controproposta si",65.8,34.2,"Bülach (ZH)",
54,"iniziative si",73.4,26.6,"Dietlikon (ZH)",
55,"due no",4.4,95.6,"Eglisau (ZH)",
56,"iniziative si",58.7,41.3,"Embrach (ZH)",
57,"iniziative si",55.9,44.1,"Freienstein-Teufen (ZH)",
58,"controproposta si",18.9,81.1,"Glattfelden (ZH)",
59,"iniziative si",84,16,"Hochfelden (ZH)",
60,"iniziative si",54.8,45.2,"Höri (ZH)",
61,"controproposta si",49.4,50.6,"Hüntwangen (ZH)",
62,"controproposta si",16.2,83.8,"Kloten (ZH)",
63,"controproposta si",32.7,67.3,"Lufingen (ZH)",
64,"controproposta si",33.5,66.5,"Nürensdorf (ZH)",
65,"controproposta si",70.1,29.9,"Oberembrach (ZH)",
66,"controproposta si",24.1,75.9,"Opfikon (ZH)",
67,"due no",22.4,77.6,"Rafz (ZH)",
68,"controproposta si",21.4,78.6,"Rorbas (ZH)",
69,"controproposta si",46.8,53.2,"Wallisellen (ZH)",
70,"controproposta si",12.7,87.3,"Wasterkingen (ZH)",
71,"iniziative si",65.1,34.9,"Wil (ZH)",
72,"due no",26.7,73.3,"Winkel (ZH)",
81,"controproposta si",37.5,62.5,"Bachs (ZH)",
82,"iniziative si",76.8,23.2,"Boppelsen (ZH)",
83,"controproposta si",48.6,51.4,"Buchs (ZH)",
84,"iniziative si",99,1,"Dällikon (ZH)",
85,"controproposta si",49.3,50.7,"Dänikon (ZH)",
86,"due no",32.1,67.9,"Dielsdorf (ZH)",
87,"controproposta si",48.8,51.2,"Hüttikon (ZH)",
