"ID","Gemeinde_color","Ja_Stimmen_In_Prozent","Nein_Stimmen_In_Prozent","Gemeinde_de","Text_de"
3001,8.9,8.9,91.1,"Herisau AR","In Herisau findet die Initiative ""Keine 10-Millionen-Schweiz"" mit 91,1 Prozent keine Mehrheit. NA"
3002,28.3,28.3,71.7,"Hundwil AR","71,7 Prozent der Stimmbürgerinnen und Stimmbürger von Hundwil sprechen sich gegen die Initiative ""Keine 10-Millionen-Schweiz"" aus. NA"
3003,67.2,67.2,32.8,"Schönengrund AR","Mit 67,2 Prozent Ja-Stimmen hat eine Mehrheit der Stimmberechtigten in Schönengrund der Initiative ""Keine 10-Millionen-Schweiz"" zugestimmt. NA"
3004,39.6,39.6,60.4,"Schwellbrunn AR","In Schwellbrunn ist die Initiative ""Keine 10-Millionen-Schweiz"" mit 60,4 Prozent der Stimmen gescheitert. NA"
3005,75.2,75.2,24.8,"Stein AR","Mit 75,2 Prozent Ja-Stimmen hat eine Mehrheit der Stimmberechtigten in Stein AR der Initiative ""Keine 10-Millionen-Schweiz"" zugestimmt. NA"
3006,45,45,55,"Urnäsch AR","In Urnäsch ist die Initiative ""Keine 10-Millionen-Schweiz"" mit 55 Prozent der Stimmen gescheitert. NA"
3007,33.5,33.5,66.5,"Waldstatt AR","66,5 Prozent der Stimmbürgerinnen und Stimmbürger von Waldstatt sprechen sich gegen die Initiative ""Keine 10-Millionen-Schweiz"" aus. NA"
3021,27,27,73,"Bühler AR","73 Prozent der Stimmbürgerinnen und Stimmbürger von Bühler sprechen sich gegen die Initiative ""Keine 10-Millionen-Schweiz"" aus. NA"
3022,46.2,46.2,53.8,"Gais AR","Die Initiative ""Keine 10-Millionen-Schweiz"" erreicht in Gais 53,8 Prozent Nein-Stimmen. NA"
3023,54.3,54.3,45.7,"Speicher AR","In Speicher erhält die Initiative ""Keine 10-Millionen-Schweiz"" 54,3 Prozent Zustimmung. NA"
3024,81.6,81.6,18.4,"Teufen AR","Mit 81,6 Prozent Ja-Stimmen hat eine Mehrheit der Stimmberechtigten in Teufen AR der Initiative ""Keine 10-Millionen-Schweiz"" zugestimmt. NA"
3025,29.1,29.1,70.9,"Trogen AR","In Trogen ist die Initiative ""Keine 10-Millionen-Schweiz"" mit 70,9 Prozent der Stimmen gescheitert. NA"
3031,54.2,54.2,45.8,"Grub AR","Mit 54,2 Prozent Ja-Stimmen hat eine Mehrheit der Stimmberechtigten in Grub AR der Initiative ""Keine 10-Millionen-Schweiz"" zugestimmt. NA"
3032,64.9,64.9,35.1,"Heiden AR","In Heiden erhält die Initiative ""Keine 10-Millionen-Schweiz"" 64,9 Prozent Zustimmung. NA"
3033,81,81,19,"Lutzenberg AR","Mit 81 Prozent befürworten die Stimmberechtigten von Lutzenberg die Initiative ""Keine 10-Millionen-Schweiz"". NA"
3034,49.2,49.2,50.8,"Rehetobel AR","Die Initiative ""Keine 10-Millionen-Schweiz"" erreicht in Rehetobel 50,8 Prozent Nein-Stimmen. NA"
3035,37.2,37.2,62.8,"Reute AR","Die Initiative ""Keine 10-Millionen-Schweiz"" erreicht in Reute AR 62,8 Prozent Nein-Stimmen. NA"
3036,78.4,78.4,21.6,"Wald AR","78,4 Prozent der Stimmbürgerinnen und Stimmbürger von Wald AR haben sich für die Initiative ""Keine 10-Millionen-Schweiz"" ausgesprochen. NA"
3037,12.4,12.4,87.6,"Walzenhausen AR","Die Initiative ""Keine 10-Millionen-Schweiz"" erreicht in Walzenhausen 87,6 Prozent Nein-Stimmen. NA"
3038,93.7,93.7,6.3,"Wolfhalden AR","In Wolfhalden erhält die Initiative ""Keine 10-Millionen-Schweiz"" 93,7 Prozent Zustimmung. NA"
