"ID","Gemeinde_color","Ja_Stimmen_In_Prozent","Nein_Stimmen_In_Prozent","Gemeinde_it","Text_it"
1,77.3,77.3,22.7,"Aeugst am Albis (ZH)",
2,57.9,57.9,42.1,"Affoltern am Albis (ZH)",
3,8.9,8.9,91.1,"Bonstetten (ZH)",
4,19.1,19.1,80.9,"Hausen am Albis (ZH)",
5,95.9,95.9,4.1,"Hedingen (ZH)",
6,19.9,19.9,80.1,"Kappel am Albis (ZH)",
7,71.5,71.5,28.5,"Knonau (ZH)",
8,48.4,48.4,51.6,"Maschwanden (ZH)",
9,14,14,86,"Mettmenstetten (ZH)",
10,55.6,55.6,44.4,"Obfelden (ZH)",
11,47.2,47.2,52.8,"Ottenbach (ZH)",
12,49.4,49.4,50.6,"Rifferswil (ZH)",
13,84.6,84.6,15.4,"Stallikon (ZH)",
14,62.9,62.9,37.1,"Wettswil am Albis (ZH)",
22,84.8,84.8,15.2,"Benken (ZH)",
23,50.8,50.8,49.2,"Berg am Irchel (ZH)",
24,96.5,96.5,3.5,"Buch am Irchel (ZH)",
25,70.9,70.9,29.1,"Dachsen (ZH)",
26,90.9,90.9,9.1,"Dorf (ZH)",
27,80.4,80.4,19.6,"Feuerthalen (ZH)",
28,45.4,45.4,54.6,"Flaach (ZH)",
29,53.5,53.5,46.5,"Flurlingen (ZH)",
31,17.7,17.7,82.3,"Henggart (ZH)",
33,32.4,32.4,67.6,"Kleinandelfingen (ZH)",
34,2,2,98,"Laufen-Uhwiesen (ZH)",
35,51.3,51.3,48.7,"Marthalen (ZH)",
37,22.1,22.1,77.9,"Ossingen (ZH)",
38,16.1,16.1,83.9,"Rheinau (ZH)",
39,25.8,25.8,74.2,"Thalheim an der Thur (ZH)",
40,44.4,44.4,55.6,"Trüllikon (ZH)",
41,87.2,87.2,12.8,"Truttikon (ZH)",
43,66.3,66.3,33.7,"Volken (ZH)",
51,34.3,34.3,65.7,"Bachenbülach (ZH)",
52,43.6,43.6,56.4,"Bassersdorf (ZH)",
53,2.7,2.7,97.3,"Bülach (ZH)",
54,23.4,23.4,76.6,"Dietlikon (ZH)",
55,31.8,31.8,68.2,"Eglisau (ZH)",
56,18.9,18.9,81.1,"Embrach (ZH)",
57,62.9,62.9,37.1,"Freienstein-Teufen (ZH)",
58,25.3,25.3,74.7,"Glattfelden (ZH)",
59,82,82,18,"Hochfelden (ZH)",
60,58.6,58.6,41.4,"Höri (ZH)",
61,18.6,18.6,81.4,"Hüntwangen (ZH)",
62,51.8,51.8,48.2,"Kloten (ZH)",
63,28.7,28.7,71.3,"Lufingen (ZH)",
64,41.8,41.8,58.2,"Nürensdorf (ZH)",
65,86.4,86.4,13.6,"Oberembrach (ZH)",
66,52.8,52.8,47.2,"Opfikon (ZH)",
67,49.2,49.2,50.8,"Rafz (ZH)",
68,62.8,62.8,37.2,"Rorbas (ZH)",
