"ID","Gemeinde_color","Ja_Stimmen_In_Prozent","Nein_Stimmen_In_Prozent","Gemeinde_de","Text_de"
4401,63.5,63.5,36.5,"Arbon TG","In Arbon erhält die Initiative ""Keine 10-Millionen-Schweiz"" 63,5 Prozent Zustimmung. NA"
4406,14.3,14.3,85.7,"Dozwil TG","85,7 Prozent der Stimmbürgerinnen und Stimmbürger von Dozwil sprechen sich gegen die Initiative ""Keine 10-Millionen-Schweiz"" aus. NA"
4411,80.3,80.3,19.7,"Egnach TG","Die Initiative ""Keine 10-Millionen-Schweiz"" erreicht in Egnach 80,3 Prozent Ja-Stimmen. NA"
4416,53.5,53.5,46.5,"Hefenhofen TG","Mit 53,5 Prozent befürworten die Stimmberechtigten von Hefenhofen die Initiative ""Keine 10-Millionen-Schweiz"". NA"
4421,41.8,41.8,58.2,"Horn TG","In Horn ist die Initiative ""Keine 10-Millionen-Schweiz"" mit 58,2 Prozent der Stimmen gescheitert. NA"
4426,42.8,42.8,57.2,"Kesswil TG","In Kesswil findet die Initiative ""Keine 10-Millionen-Schweiz"" mit 57,2 Prozent keine Mehrheit. NA"
4431,43.1,43.1,56.9,"Roggwil TG","In Roggwil TG findet die Initiative ""Keine 10-Millionen-Schweiz"" mit 56,9 Prozent keine Mehrheit. NA"
4436,25.6,25.6,74.4,"Romanshorn TG","In Romanshorn findet die Initiative ""Keine 10-Millionen-Schweiz"" mit 74,4 Prozent keine Mehrheit. NA"
4441,19.6,19.6,80.4,"Salmsach TG","Die Initiative ""Keine 10-Millionen-Schweiz"" erreicht in Salmsach 80,4 Prozent Nein-Stimmen. NA"
4446,25.3,25.3,74.7,"Sommeri TG","In Sommeri wird die Initiative ""Keine 10-Millionen-Schweiz"" mit 74,7 Prozent abgelehnt. NA"
4451,18.3,18.3,81.7,"Uttwil TG","81,7 Prozent der Stimmbürgerinnen und Stimmbürger von Uttwil sprechen sich gegen die Initiative ""Keine 10-Millionen-Schweiz"" aus. NA"
4461,61.4,61.4,38.6,"Amriswil TG","Die Initiative ""Keine 10-Millionen-Schweiz"" erreicht in Amriswil 61,4 Prozent Ja-Stimmen. NA"
4471,60.9,60.9,39.1,"Bischofszell TG","Die Initiative ""Keine 10-Millionen-Schweiz"" erreicht in Bischofszell 60,9 Prozent Ja-Stimmen. NA"
4476,22.9,22.9,77.1,"Erlen TG","In Erlen findet die Initiative ""Keine 10-Millionen-Schweiz"" mit 77,1 Prozent keine Mehrheit. NA"
4486,25.5,25.5,74.5,"Hauptwil-Gottshaus TG","74,5 Prozent der Stimmbürgerinnen und Stimmbürger von Hauptwil-Gottshaus sprechen sich gegen die Initiative ""Keine 10-Millionen-Schweiz"" aus. NA"
4495,64.9,64.9,35.1,"Hohentannen TG","Die Initiative ""Keine 10-Millionen-Schweiz"" erreicht in Hohentannen 64,9 Prozent Ja-Stimmen. NA"
4501,54.3,54.3,45.7,"Kradolf-Schönenberg TG","Mit 54,3 Prozent Ja-Stimmen hat eine Mehrheit der Stimmberechtigten in Kradolf-Schönenberg der Initiative ""Keine 10-Millionen-Schweiz"" zugestimmt. NA"
4506,47.7,47.7,52.3,"Sulgen TG","Die Initiative ""Keine 10-Millionen-Schweiz"" erreicht in Sulgen 52,3 Prozent Nein-Stimmen. NA"
4511,47.4,47.4,52.6,"Zihlschlacht-Sitterdorf TG","52,6 Prozent der Stimmbürgerinnen und Stimmbürger von Zihlschlacht-Sitterdorf sprechen sich gegen die Initiative ""Keine 10-Millionen-Schweiz"" aus. NA"
4536,7.8,7.8,92.2,"Basadingen-Schlattingen TG","In Basadingen-Schlattingen findet die Initiative ""Keine 10-Millionen-Schweiz"" mit 92,2 Prozent keine Mehrheit. NA"
4545,46,46,54,"Diessenhofen TG","54 Prozent der Stimmbürgerinnen und Stimmbürger von Diessenhofen sprechen sich gegen die Initiative ""Keine 10-Millionen-Schweiz"" aus. NA"
4546,52.5,52.5,47.5,"Schlatt TG","Mit 52,5 Prozent Ja-Stimmen hat eine Mehrheit der Stimmberechtigten in Schlatt TG der Initiative ""Keine 10-Millionen-Schweiz"" zugestimmt. NA"
4551,12.3,12.3,87.7,"Aadorf TG","Die Initiative ""Keine 10-Millionen-Schweiz"" erreicht in Aadorf 87,7 Prozent Nein-Stimmen. NA"
4561,52.1,52.1,47.9,"Felben-Wellhausen TG","Mit 52,1 Prozent befürworten die Stimmberechtigten von Felben-Wellhausen die Initiative ""Keine 10-Millionen-Schweiz"". NA"
4566,34.4,34.4,65.6,"Frauenfeld TG","Die Initiative ""Keine 10-Millionen-Schweiz"" erreicht in Frauenfeld 65,6 Prozent Nein-Stimmen. NA"
4571,81.7,81.7,18.3,"Gachnang TG","Die Initiative ""Keine 10-Millionen-Schweiz"" erreicht in Gachnang 81,7 Prozent Ja-Stimmen. NA"
