"ID","Gemeinde_color","Ja_Stimmen_In_Prozent","Nein_Stimmen_In_Prozent","Gemeinde_de","Text_de"
1301,33,33,67,"Einsiedeln SZ","Einsiedeln hat die Volksinitiative ""Kaufkraft stärken - Prämienverbilligung auch für den Mittelstand"" mit 67 Prozent Nein-Stimmen verworfen. Einsiedeln lehnt die Volksinitiative ""Kaufkraft stärken - Prämienverbilligung auch für den Mittelstand"" ab, der Kanton Schwyz nimmt sie an."
1311,22.5,22.5,77.5,"Gersau SZ","Gersau hat die Volksinitiative ""Kaufkraft stärken - Prämienverbilligung auch für den Mittelstand"" mit 77,5 Prozent Nein-Stimmen verworfen. Gersau lehnt die Volksinitiative ""Kaufkraft stärken - Prämienverbilligung auch für den Mittelstand"" ab, der Kanton Schwyz nimmt sie an."
1321,25,25,75,"Feusisberg SZ","Feusisberg hat die Volksinitiative ""Kaufkraft stärken - Prämienverbilligung auch für den Mittelstand"" mit 75 Prozent Nein-Stimmen verworfen. Feusisberg lehnt die Volksinitiative ""Kaufkraft stärken - Prämienverbilligung auch für den Mittelstand"" ab, der Kanton Schwyz nimmt sie an."
1322,76.4,76.4,23.6,"Freienbach SZ","Die Volksinitiative ""Kaufkraft stärken - Prämienverbilligung auch für den Mittelstand"" erreicht in Freienbach 76,4 Prozent Ja-Stimmen. Freienbach und der Kanton Schwyz sagen Ja zur Volksinitiative ""Kaufkraft stärken - Prämienverbilligung auch für den Mittelstand""."
1323,29.9,29.9,70.1,"Wollerau SZ","Nein zur Volksinitiative ""Kaufkraft stärken - Prämienverbilligung auch für den Mittelstand"" in Wollerau: 70,1 Prozent. Wollerau lehnt die Volksinitiative ""Kaufkraft stärken - Prämienverbilligung auch für den Mittelstand"" ab, der Kanton Schwyz nimmt sie an."
1331,50.2,50.2,49.8,"Küssnacht SZ","50,2 Prozent der Stimmbürgerinnen und Stimmbürger in Küssnacht SZ sagen Ja zur Volksinitiative ""Kaufkraft stärken - Prämienverbilligung auch für den Mittelstand"". Küssnacht SZ und der Kanton Schwyz sagen Ja zur Volksinitiative ""Kaufkraft stärken - Prämienverbilligung auch für den Mittelstand""."
1341,42.7,42.7,57.3,"Altendorf SZ","Nein zur Volksinitiative ""Kaufkraft stärken - Prämienverbilligung auch für den Mittelstand"" in Altendorf: 57,3 Prozent. Altendorf lehnt die Volksinitiative ""Kaufkraft stärken - Prämienverbilligung auch für den Mittelstand"" ab, der Kanton Schwyz nimmt sie an."
1342,20.7,20.7,79.3,"Galgenen SZ","In Galgenen wird die Volksinitiative ""Kaufkraft stärken - Prämienverbilligung auch für den Mittelstand"" mit 79,3 Prozent abgelehnt. Galgenen lehnt die Volksinitiative ""Kaufkraft stärken - Prämienverbilligung auch für den Mittelstand"" ab, der Kanton Schwyz nimmt sie an."
1343,67.8,67.8,32.2,"Innerthal SZ","67,8 Prozent der Stimmbürgerinnen und Stimmbürger in Innerthal sagen Ja zur Volksinitiative ""Kaufkraft stärken - Prämienverbilligung auch für den Mittelstand"". Innerthal und der Kanton Schwyz sagen Ja zur Volksinitiative ""Kaufkraft stärken - Prämienverbilligung auch für den Mittelstand""."
1344,49.7,49.7,50.3,"Lachen SZ","In Lachen wird die Volksinitiative ""Kaufkraft stärken - Prämienverbilligung auch für den Mittelstand"" mit 50,3 Prozent abgelehnt. Lachen lehnt die Volksinitiative ""Kaufkraft stärken - Prämienverbilligung auch für den Mittelstand"" ab, der Kanton Schwyz nimmt sie an."
